任务ID(末3位是任务的id，前面位表示归属的目标id，1001001即目标id=1001、任务id=1),归属目标(SurviveObjectiveDef的ID),名称,描述(加上@1会显示任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(使用@item_道具id#添加道具文本，默认颜色#cfa7a0f),任务完成事件类型【1自动完成，2破坏方块，3获得道具，4加工道具，5冶炼道具，6道具损坏，7使用道具，8击败生物，9繁殖生物，10驯服生物，11玩家死亡，12（未用），13设置复活点，14抵达生态，15生存时间，16跳过夜晚，17方块交互(手持GoalID1:item点GoalID2:item，GoalID1=0为直接点击方块，GoalID2=0为放置方块)，18符文镶嵌(消耗指定符文石道具)，19修复道具，20烹饪道具，21施肥，22生物交互(手持GoalID1:item点GoalID2:monster，GoalID1=0为直接点击生物，不允许GoalID2=0)，23NPC交易，24游戏开始完成，25抵达星球，26编书，27钓鱼，28拆书，29符文镶嵌(消耗指定副材料道具)，30（未用），31符文镶嵌(获得指定效果类型EnchantType)，32种植，33放置方块（A放在B顶面），34穿戴装备】,任务完成对象(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),任务完成对象交互对象(17、22类型的任务需要配置Goal ID1和Goal ID2，使用1去交互2),任务完成对象所需数值,X轴(在任务展示框中的横轴坐标),Y轴(在任务展示框中的纵轴坐标),前置任务ID1,前置任务ID2,前置任务ID3,前置任务ID4,前置任务ID5,自动跟踪下个任务ID,任务奖励类型(0道具，1星星),任务奖励(奖励为星星则不填或填0),奖励数量,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),旧版成就ID(对应achievement.csv)
2003036,2003,粉色龙舌兰Ⅲ,在@item_103#种植@item_441#@1#r(@item_310#通常生长在桃树盆地、红土岛等生态里),种@item_441#@1,32,I_441,,100,11,4,,,,,,2003038,0,310,30,2,310,2003034,
2003037,2003,白椰花Ⅰ,在@item_103#种植@item_442#@1#r(@item_311#通常生长在针叶林生态里),种@item_442#@1,32,I_442,,5,1,5,,,,,,2003040,0,311,5,2,311,2003037,
2003038,2003,白椰花Ⅱ,在@item_103#种植@item_442#@1#r(@item_311#通常生长在针叶林生态里),种@item_442#@1,32,I_442,,50,2,5,,,,,,2003039,0,311,15,2,311,2003037,
2003039,2003,白椰花Ⅲ,在@item_103#种植@item_442#@1#r(@item_311#通常生长在针叶林生态里),种@item_442#@1,32,I_442,,100,3,5,,,,,,2003041,0,311,30,2,311,2003037,
2003040,2003,野蔷薇Ⅰ,在@item_103#种植@item_444#@1#r(@item_313#通常生长在沼泽、丛林等生态里),种@item_444#@1,32,I_444,,5,5,5,,,,,,2003043,0,313,5,2,313,2003040,
2003041,2003,野蔷薇Ⅱ,在@item_103#种植@item_444#@1#r(@item_313#通常生长在沼泽、丛林等生态里),种@item_444#@1,32,I_444,,50,6,5,,,,,,2003042,0,313,15,2,313,2003040,
2003042,2003,野蔷薇Ⅲ,在@item_103#种植@item_444#@1#r(@item_313#通常生长在沼泽、丛林等生态里),种@item_444#@1,32,I_444,,100,7,5,,,,,,2003044,0,313,30,2,313,2003040,
2003043,2003,冬温花Ⅰ,在@item_121#种植@item_760#@1#r(@item_761#通常生长在冰原生态里),种@item_760#@1,32,I_760,,5,9,5,,,,,,2004001,0,761,5,2,761,2003043,
2003044,2003,冬温花Ⅱ,在@item_121#种植@item_760#@1#r(@item_761#通常生长在冰原生态里),种@item_760#@1,32,I_760,,50,10,5,,,,,,2003045,0,761,15,2,761,2003043,
2003045,2003,冬温花Ⅲ,在@item_121#种植@item_760#@1#r(@item_761#通常生长在冰原生态里),种@item_760#@1,32,I_760,,100,11,5,,,,,,2004001,0,761,30,2,761,2003043,
2004001,2004,玉米Ⅰ,种植@item_11400#@1#r(将@item_11400#种在@item_102#里，待成熟后采集便可以获得@item_229#),种植@item_11400#@1,32,I_229,,5,1,1,,,,,,2004004,0,229,5,2,229,2004001,
2004002,2004,玉米Ⅱ,种植@item_11400#@1#r(将@item_11400#种在@item_102#里，待成熟后采集便可以获得@item_229#),种植@item_11400#@1,32,I_229,,50,2,1,,,,,,2004003,0,229,15,2,229,2004001,
2004003,2004,玉米Ⅲ,种植@item_11400#@1#r(将@item_11400#种在@item_102#里，待成熟后采集便可以获得@item_229#),种植@item_11400#@1,32,I_229,,100,3,1,,,,,,2004005,0,229,30,2,229,2004001,
2004004,2004,番薯Ⅰ,种植@item_241#@1#r(将@item_241#种在@item_102#里，待成熟后采集便可以获得@item_241#),种植@item_241#@1,32,I_241,,5,5,1,,,,,,2004007,0,241,5,2,241,2004004,
2004005,2004,番薯Ⅱ,种植@item_241#@1#r(将@item_241#种在@item_102#里，待成熟后采集便可以获得@item_241#),种植@item_241#@1,32,I_241,,50,6,1,,,,,,2004006,0,241,15,2,241,2004004,
2004006,2004,番薯Ⅲ,种植@item_241#@1#r(将@item_241#种在@item_102#里，待成熟后采集便可以获得@item_241#),种植@item_241#@1,32,I_241,,100,7,1,,,,,,2004008,0,241,30,2,241,2004004,
2004007,2004,棉花Ⅰ,种植@item_11419#@1#r(将@item_11419#种在@item_102#里，待成熟后采集便可以获得@item_12600#),种植@item_11419#@1,32,I_469,,5,1,2,,,,,,2004010,0,12600,5,2,12600,2004007,
2004008,2004,棉花Ⅱ,种植@item_11419#@1#r(将@item_11419#种在@item_102#里，待成熟后采集便可以获得@item_12600#),种植@item_11419#@1,32,I_469,,50,2,2,,,,,,2004009,0,12600,15,2,12600,2004007,
2004009,2004,棉花Ⅲ,种植@item_11419#@1#r(将@item_11419#种在@item_102#里，待成熟后采集便可以获得@item_12600#),种植@item_11419#@1,32,I_469,,100,3,2,,,,,,2004011,0,12600,30,2,12600,2004007,
2004010,2004,巨鳞羽果Ⅰ,种植@item_11402#@1#r(将@item_11402#种在@item_102#里，待成熟后采集便可以获得@item_239#),种植@item_11402#@1,32,I_240,,5,5,2,,,,,,2004013,0,239,5,2,239,2004010,
2004011,2004,巨鳞羽果Ⅱ,种植@item_11402#@1#r(将@item_11402#种在@item_102#里，待成熟后采集便可以获得@item_239#),种植@item_11402#@1,32,I_240,,50,6,2,,,,,,2004012,0,239,15,2,239,2004010,
2004012,2004,巨鳞羽果Ⅲ,种植@item_11402#@1#r(将@item_11402#种在@item_102#里，待成熟后采集便可以获得@item_239#),种植@item_11402#@1,32,I_240,,100,7,2,,,,,,2004014,0,239,30,2,239,2004010,
2004013,2004,巨布鲁果Ⅰ,种植@item_11401#@1#r(将@item_11401#种在@item_102#里，待成熟后采集便可以获得@item_230#),种植@item_11401#@1,32,I_231,,5,9,2,,,,,,2004016,0,230,5,2,230,2004013,
2004014,2004,巨布鲁果Ⅱ,种植@item_11401#@1#r(将@item_11401#种在@item_102#里，待成熟后采集便可以获得@item_230#),种植@item_11401#@1,32,I_231,,50,10,2,,,,,,2004015,0,230,15,2,230,2004013,
2004015,2004,巨布鲁果Ⅲ,种植@item_11401#@1#r(将@item_11401#种在@item_102#里，待成熟后采集便可以获得@item_230#),种植@item_11401#@1,32,I_231,,100,11,2,,,,,,2004017,0,230,30,2,230,2004013,
2004016,2004,青瓜Ⅰ,种植@item_236#@1#r(将@item_236#种在@item_102#里，待成熟后采集便可以获得@item_236#),种植@item_236#@1,32,I_236,,5,5,3,,,,,,2004019,0,236,5,2,236,2004016,
2004017,2004,青瓜Ⅱ,种植@item_236#@1#r(将@item_236#种在@item_102#里，待成熟后采集便可以获得@item_236#),种植@item_236#@1,32,I_236,,50,6,3,,,,,,2004018,0,236,15,2,236,2004016,
2004018,2004,青瓜Ⅲ,种植@item_236#@1#r(将@item_236#种在@item_102#里，待成熟后采集便可以获得@item_236#),种植@item_236#@1,32,I_236,,100,7,3,,,,,,2004020,0,236,30,2,236,2004016,
2004019,2004,水稻Ⅰ,种植@item_234#@1#r(将@item_11404#种在一格高的水里，待成熟后采集便可以获得@item_234#),种植@item_234#@1,32,I_234,,5,9,1,,,,,,2004022,0,234,5,2,11404,2004019,
2004020,2004,水稻Ⅱ,种植@item_234#@1#r(将@item_11404#种在一格高的水里，待成熟后采集便可以获得@item_234#),种植@item_234#@1,32,I_234,,50,10,1,,,,,,2004021,0,234,15,2,11404,2004019,
2004021,2004,水稻Ⅲ,种植@item_234#@1#r(将@item_11404#种在一格高的水里，待成熟后采集便可以获得@item_234#),种植@item_234#@1,32,I_234,,100,11,1,,,,,,2004023,0,234,30,2,11404,2004019,
2004022,2004,彼岸菠萝Ⅰ,种植@item_11654#@1#r(将@item_1194#种在@item_150#里，待成熟后采集便可以获得@item_11654#),在@item_150#上种植@item_1194#@1,32,I_1186,,5,1,3,,,,,,2004025,0,11654,5,2,1187,2004022,
2004023,2004,彼岸菠萝Ⅱ,种植@item_11654#@1#r(将@item_1194#种在@item_150#里，待成熟后采集便可以获得@item_11654#),在@item_150#上种植@item_1194#@1,32,I_1186,,50,2,3,,,,,,2004024,0,11654,15,2,1187,2004022,
2004024,2004,彼岸菠萝Ⅲ,种植@item_11654#@1#r(将@item_1194#种在@item_150#里，待成熟后采集便可以获得@item_11654#),在@item_150#上种植@item_1194#@1,32,I_1186,,100,3,3,,,,,,2004026,0,11654,30,2,1187,2004022,
2004025,2004,珊瑚Ⅰ,在@item_25#上种植@item_11915#@1#r(珊瑚必须种在水中，除了@item_25#，@item_29#和@item_128#也可以种植珊瑚),种@item_11915#@1,32,I_485,,5,9,3,,,,,,2004028,0,11915,5,2,11915,2004025,
2004026,2004,珊瑚Ⅱ,在@item_25#上种植@item_11915#@1#r(珊瑚必须种在水中，除了@item_25#，@item_29#和@item_128#也可以种植珊瑚),种@item_11915#@1,32,I_485,,50,10,3,,,,,,2004027,0,11915,15,2,11915,2004025,
2004027,2004,珊瑚Ⅲ,在@item_25#上种植@item_11915#@1#r(珊瑚必须种在水中，除了@item_25#，@item_29#和@item_128#也可以种植珊瑚),种@item_11915#@1,32,I_485,,100,11,3,,,,,,2004029,0,11915,30,2,11915,2004025,
2004028,2004,荧光棒藻Ⅰ,在@item_23#上种植@item_11658#@1#r(投掷出去的@item_11658#需要正中@item_23#的顶面才有可能发芽),种@item_11658#@1,32,I_494,,5,1,4,,,,,,2005001,0,11656,5,2,11658,2004028,
2004029,2004,荧光棒藻Ⅱ,在@item_23#上种植@item_11658#@1#r(投掷出去的@item_11658#需要正中@item_23#的顶面才有可能发芽),种@item_11658#@1,32,I_494,,50,2,4,,,,,,2004030,0,11656,15,2,11658,2004028,
2004030,2004,荧光棒藻Ⅲ,在@item_23#上种植@item_11658#@1#r(投掷出去的@item_11658#需要正中@item_23#的顶面才有可能发芽),种@item_11658#@1,32,I_494,,100,3,4,,,,,,2005001,0,11656,30,2,11658,2004028,
2005001,2005,饲料槽,加工@item_1753#@1,加工@item_1753#@1,4,I_1753,,1,1,1,,,,,,2005002,0,229,5,2,1753,2005001,
2005002,2005,饲料,加工@item_11534#@1#r(饲料有区分类型，不同进食习惯的动物只会吃自己喜欢吃的饲料),加工@item_11534#@1,4,I_11534,,3,2,1,2005001,,,,,2005003,0,12052,3,2,11534,,
2005003,2005,填充饲料槽,将@item_11534#放入@item_1753#中@1#r(饲料槽填充饲料后，周围圈养的动物饿了会自己来吃),使用@item_11534#填充@item_1753#@1,17,I_11534,I_1753,3,3,1,2005002,,,,,2005004,0,11534,2,2,11534,2005003,
2005004,2005,草垛,加工@item_822#@1#r(哺乳类的动物需要在@item_822#附近才会繁殖),加工@item_822#@1,4,I_822,,1,4,1,2005003,,,,,2005005,0,229,10,2,822,2005004,
2005005,2005,繁殖嘟嘟鸟Ⅰ,繁殖嘟嘟鸟@1#r(嘟嘟鸟需要周围有@item_1019#才会下蛋),繁殖嘟嘟鸟@1,9,M_3400,,10,1,2,,,,,,2005006,0,12518,5,2,#3400,2005005,1052
2005006,2005,繁殖嘟嘟鸟Ⅱ,繁殖嘟嘟鸟@1#r(嘟嘟鸟需要周围有@item_1019#才会下蛋),繁殖嘟嘟鸟@1,9,M_3400,,50,2,2,,,,,,2005007,0,12518,25,2,#3400,2005005,1052
2005007,2005,繁殖嘟嘟鸟Ⅲ,繁殖嘟嘟鸟@1#r(嘟嘟鸟需要周围有@item_1019#才会下蛋),繁殖嘟嘟鸟@1,9,M_3400,,100,3,2,,,,,,2005008,1,0,3,2,#3400,2005005,1052
2005008,2005,繁殖沃沃兽Ⅰ,繁殖沃沃兽@1#r(沃沃兽需要周围有@item_822#才会繁殖),繁殖沃沃兽@1,9,M_3401,,10,5,2,,,,,,2005009,0,12516,5,2,#3401,2005008,1050
2005009,2005,繁殖沃沃兽Ⅱ,繁殖沃沃兽@1#r(沃沃兽需要周围有@item_822#才会繁殖),繁殖沃沃兽@1,9,M_3401,,50,6,2,,,,,,2005010,0,12516,25,2,#3401,2005008,1050
2005010,2005,繁殖沃沃兽Ⅲ,繁殖沃沃兽@1#r(沃沃兽需要周围有@item_822#才会繁殖),繁殖沃沃兽@1,9,M_3401,,100,7,2,,,,,,2005011,1,0,3,2,#3401,2005008,1050
2005011,2005,繁殖墩墩Ⅰ,繁殖墩墩@1#r(墩墩需要周围有@item_822#才会繁殖),繁殖墩墩@1,9,M_3402,,10,9,2,,,,,,2005012,0,12522,5,2,#3402,2005011,1049
2005012,2005,繁殖墩墩Ⅱ,繁殖墩墩@1#r(墩墩需要周围有@item_822#才会繁殖),繁殖墩墩@1,9,M_3402,,50,10,2,,,,,,2005013,0,12522,25,2,#3402,2005011,1049
2005013,2005,繁殖墩墩Ⅲ,繁殖墩墩@1#r(墩墩需要周围有@item_822#才会繁殖),繁殖墩墩@1,9,M_3402,,100,11,2,,,,,,2005014,1,0,3,2,#3402,2005011,1049
2005014,2005,繁殖角鹿Ⅰ,繁殖角鹿@1#r(角鹿需要周围有@item_822#才会繁殖),繁殖角鹿@1,9,M_3403,,10,1,3,,,,,,2005015,0,12530,5,2,#3403,2005014,1051
2005015,2005,繁殖角鹿Ⅱ,繁殖角鹿@1#r(角鹿需要周围有@item_822#才会繁殖),繁殖角鹿@1,9,M_3403,,50,2,3,,,,,,2005016,0,12530,25,2,#3403,2005014,1051
2005016,2005,繁殖角鹿Ⅲ,繁殖角鹿@1#r(角鹿需要周围有@item_822#才会繁殖),繁殖角鹿@1,9,M_3403,,100,3,3,,,,,,2005017,1,0,3,2,#3403,2005014,1051
2005017,2005,繁殖狐狸Ⅰ,繁殖狐狸@1#r(狐狸需要周围有@item_822#才会繁殖),繁殖狐狸@1,9,M_3407,,10,5,3,,,,,,2005018,0,11307,5,2,#3407,2005017,
2005018,2005,繁殖狐狸Ⅱ,繁殖狐狸@1#r(狐狸需要周围有@item_822#才会繁殖),繁殖狐狸@1,9,M_3407,,50,6,3,,,,,,2005019,0,11307,25,2,#3407,2005017,
2005019,2005,繁殖狐狸Ⅲ,繁殖狐狸@1#r(狐狸需要周围有@item_822#才会繁殖),繁殖狐狸@1,9,M_3407,,100,7,3,,,,,,2005020,1,0,3,2,#3407,2005017,
2005020,2005,繁殖企鹅Ⅰ,繁殖企鹅@1,繁殖企鹅@1,9,M_3409,,10,9,3,,,,,,2005021,0,12520,5,2,#3409,2005020,
2005021,2005,繁殖企鹅Ⅱ,繁殖企鹅@1,繁殖企鹅@1,9,M_3409,,50,10,3,,,,,,2005022,0,12520,25,2,#3409,2005020,
2005022,2005,繁殖企鹅Ⅲ,繁殖企鹅@1,繁殖企鹅@1,9,M_3409,,100,11,3,,,,,,2005023,1,0,3,2,#3409,2005020,
2005023,2005,繁殖野生鸵鸟Ⅰ,繁殖野生鸵鸟@1#r(野生鸵鸟需要周围有@item_1019#才会下蛋),繁殖野生鸵鸟@1,9,M_3411,,10,1,4,,,,,,2005024,0,12607,5,2,#3411,2005023,
2005024,2005,繁殖野生鸵鸟Ⅱ,繁殖野生鸵鸟@1#r(野生鸵鸟需要周围有@item_1019#才会下蛋),繁殖野生鸵鸟@1,9,M_3411,,50,2,4,,,,,,2005025,0,12607,25,2,#3411,2005023,
2005025,2005,繁殖野生鸵鸟Ⅲ,繁殖野生鸵鸟@1#r(野生鸵鸟需要周围有@item_1019#才会下蛋),繁殖野生鸵鸟@1,9,M_3411,,100,3,4,,,,,,2005026,1,0,3,2,#3411,2005023,
2005026,2005,繁殖野生冰熊Ⅰ,繁殖野生冰熊@1#r(冰熊需要周围有@item_822#才会繁殖),繁殖野生冰熊@1,9,M_3412,,10,5,4,,,,,,2005027,0,11307,5,2,#3412,2005026,
2005027,2005,繁殖野生冰熊Ⅱ,繁殖野生冰熊@1#r(冰熊需要周围有@item_822#才会繁殖),繁殖野生冰熊@1,9,M_3412,,50,6,4,,,,,,2005028,0,11307,25,2,#3412,2005026,
2005028,2005,繁殖野生冰熊Ⅲ,繁殖野生冰熊@1#r(冰熊需要周围有@item_822#才会繁殖),繁殖野生冰熊@1,9,M_3412,,100,7,4,,,,,,2005029,1,0,3,2,#3412,2005026,
2005029,2005,繁殖飞鸡Ⅰ,繁殖飞鸡@1,繁殖飞鸡@1,9,M_3421,,10,9,4,,,,,,2005030,0,11067,5,2,#3421,2005029,
2005030,2005,繁殖飞鸡Ⅱ,繁殖飞鸡@1,繁殖飞鸡@1,9,M_3421,,50,10,4,,,,,,2005031,0,11067,25,2,#3421,2005029,
2005031,2005,繁殖飞鸡Ⅲ,繁殖飞鸡@1,繁殖飞鸡@1,9,M_3421,,100,11,4,,,,,,2005032,1,0,3,2,#3421,2005029,
2005032,2005,繁殖战斗鸡Ⅰ,繁殖战斗鸡@1,繁殖战斗鸡@1,9,M_3423,,10,1,5,,,,,,2005033,0,11068,5,2,#3423,2005032,
2005033,2005,繁殖战斗鸡Ⅱ,繁殖战斗鸡@1,繁殖战斗鸡@1,9,M_3423,,50,2,5,,,,,,2005034,0,11068,25,2,#3423,2005032,
2005034,2005,繁殖战斗鸡Ⅲ,繁殖战斗鸡@1,繁殖战斗鸡@1,9,M_3423,,100,3,5,,,,,,2005035,1,0,3,2,#3423,2005032,
2005035,2005,繁殖野生猴子Ⅰ,繁殖野生猴子@1,繁殖野生猴子@1,9,M_3870,,10,5,5,,,,,,2005036,0,11600,1,2,#3871,2005035,
2005036,2005,繁殖野生猴子Ⅱ,繁殖野生猴子@1,繁殖野生猴子@1,9,M_3870,,50,6,5,,,,,,2005037,0,11600,10,2,#3871,2005035,
2005037,2005,繁殖野生猴子Ⅲ,繁殖野生猴子@1,繁殖野生猴子@1,9,M_3870,,100,7,5,,,,,,2006001,1,0,3,2,#3871,2005035,
2005038,2005,繁殖雪兔Ⅰ,繁殖雪兔@1,繁殖雪兔@1,9,M_3910,,10,9,5,,,,,,2005039,0,12532,5,2,#3910,2005038,
2005039,2005,繁殖雪兔Ⅱ,繁殖雪兔@1,繁殖雪兔@1,9,M_3910,,50,10,5,,,,,,2005040,0,12532,25,2,#3910,2005038,
2005040,2005,繁殖雪兔Ⅲ,繁殖雪兔@1,繁殖雪兔@1,9,M_3910,,100,11,5,,,,,,2005041,1,0,3,2,#3910,2005038,
2005041,2005,繁殖牦牛Ⅰ,繁殖牦牛@1,繁殖牦牛@1,9,M_3912,,10,1,6,,,,,,2005042,0,12535,5,2,#3912,2005041,
2005042,2005,繁殖牦牛Ⅱ,繁殖牦牛@1,繁殖牦牛@1,9,M_3912,,50,2,6,,,,,,2005043,0,12535,25,2,#3912,2005041,
2005043,2005,繁殖牦牛Ⅲ,繁殖牦牛@1,繁殖牦牛@1,9,M_3912,,100,3,6,,,,,,2006001,1,0,3,2,#3912,2005041,
2006001,2006,驯服沃沃兽Ⅰ,使用@item_12500#驯服沃沃兽@1,使用@item_12500#驯服沃沃兽@1,10,M_3401,,1,1,1,,,,,,2006002,0,12500,5,2,#3401,2006001,
2006002,2006,驯服沃沃兽Ⅱ,使用@item_12500#驯服沃沃兽@1,使用@item_12500#驯服沃沃兽@1,10,M_3401,,5,2,1,,,,,,2006003,0,12500,10,2,#3401,2006001,
2006003,2006,驯服沃沃兽Ⅲ,使用@item_12500#驯服沃沃兽@1,使用@item_12500#驯服沃沃兽@1,10,M_3401,,20,3,1,,,,,,2006004,1,0,1,2,#3401,2006001,
2006004,2006,驯服狐狸Ⅰ,使用@item_12052#驯服狐狸@1,使用@item_12052#驯服狐狸@1,10,M_3407,,1,5,1,,,,,,2006005,0,12052,5,2,#3407,2006004,1095
2006005,2006,驯服狐狸Ⅱ,使用@item_12052#驯服狐狸@1,使用@item_12052#驯服狐狸@1,10,M_3407,,5,6,1,,,,,,2006006,0,12052,10,2,#3407,2006004,1096
2006006,2006,驯服狐狸Ⅲ,使用@item_12052#驯服狐狸@1,使用@item_12052#驯服狐狸@1,10,M_3407,,20,7,1,,,,,,2006007,1,0,1,2,#3407,2006004,1097
2006007,2006,驯服野生鸵鸟Ⅰ,使用@item_12508#驯服野生鸵鸟@1,使用@item_12508#驯服野生鸵鸟@1,10,M_3411,,1,9,1,,,,,,2006008,0,12508,5,2,#3411,2006007,
2006008,2006,驯服野生鸵鸟Ⅱ,使用@item_12508#驯服野生鸵鸟@1,使用@item_12508#驯服野生鸵鸟@1,10,M_3411,,5,10,1,,,,,,2006009,0,12508,10,2,#3411,2006007,
2006009,2006,驯服野生鸵鸟Ⅲ,使用@item_12508#驯服野生鸵鸟@1,使用@item_12508#驯服野生鸵鸟@1,10,M_3411,,20,11,1,,,,,,2006010,1,0,1,2,#3411,2006007,
2006010,2006,驯服野生冰熊Ⅰ,使用@item_12520#驯服野生冰熊@1,使用@item_12520#驯服野生冰熊@1,10,M_3412,,1,1,2,,,,,,2006011,0,12520,5,2,#3412,2006010,
2006011,2006,驯服野生冰熊Ⅱ,使用@item_12520#驯服野生冰熊@1,使用@item_12520#驯服野生冰熊@1,10,M_3412,,5,2,2,,,,,,2006012,0,12520,10,2,#3412,2006010,
2006012,2006,驯服野生冰熊Ⅲ,使用@item_12520#驯服野生冰熊@1,使用@item_12520#驯服野生冰熊@1,10,M_3412,,20,3,2,,,,,,2006013,1,0,1,2,#3412,2006010,
2006013,2006,驯服野生速龙Ⅰ,使用@item_12543#驯服野生速龙@1,使用@item_12543#驯服野生速龙@1,10,M_3413,,1,5,2,,,,,,2006014,0,12543,5,2,#3413,2006013,
2006014,2006,驯服野生速龙Ⅱ,使用@item_12543#驯服野生速龙@1,使用@item_12543#驯服野生速龙@1,10,M_3413,,5,6,2,,,,,,2006015,0,12543,10,2,#3413,2006013,
2006015,2006,驯服野生速龙Ⅲ,使用@item_12543#驯服野生速龙@1,使用@item_12543#驯服野生速龙@1,10,M_3413,,20,7,2,,,,,,2006016,1,0,1,2,#3413,2006013,
2006016,2006,驯服野生团子Ⅰ,使用@item_12576#驯服野生团子#@1,使用@item_12576#驯服野生团子#@1,10,M_3414,,1,9,2,,,,,,2006017,0,12576,5,2,#3414,2006016,
2006017,2006,驯服野生团子Ⅱ,使用@item_12576#驯服野生团子#@1,使用@item_12576#驯服野生团子#@1,10,M_3414,,5,10,2,,,,,,2006018,0,12576,10,2,#3414,2006016,
2006018,2006,驯服野生团子Ⅲ,使用@item_12576#驯服野生团子#@1,使用@item_12576#驯服野生团子#@1,10,M_3414,,20,11,2,,,,,,2006019,1,0,1,2,#3414,2006016,
2006019,2006,驯服野生熊猫Ⅰ,使用@item_251#驯服野生熊猫@1,使用@item_251#驯服野生熊猫@1,10,M_3416,,1,1,3,,,,,,2006020,0,251,5,2,#3416,2006019,
2006020,2006,驯服野生熊猫Ⅱ,使用@item_251#驯服野生熊猫@1,使用@item_251#驯服野生熊猫@1,10,M_3416,,5,2,3,,,,,,2006021,0,251,10,2,#3416,2006019,
2006021,2006,驯服野生熊猫Ⅲ,使用@item_251#驯服野生熊猫@1,使用@item_251#驯服野生熊猫@1,10,M_3416,,20,3,3,,,,,,2006022,1,0,1,2,#3416,2006019,
2006022,2006,驯服飞鸡Ⅰ,使用@item_12601#驯服飞鸡@1,使用@item_12601#驯服飞鸡@1,10,M_3421,,1,5,3,,,,,,2006023,0,12601,5,2,#3421,2006022,
2006023,2006,驯服飞鸡Ⅱ,使用@item_12601#驯服飞鸡@1,使用@item_12601#驯服飞鸡@1,10,M_3421,,5,6,3,,,,,,2006024,0,12601,10,2,#3421,2006022,
2006024,2006,驯服飞鸡Ⅲ,使用@item_12601#驯服飞鸡@1,使用@item_12601#驯服飞鸡@1,10,M_3421,,20,7,3,,,,,,2006025,1,0,1,2,#3421,2006022,
2006025,2006,驯服野生猴子Ⅰ,使用@item_11599#驯服野生猴子@1,使用@item_11599#驯服野生猴子@1,10,M_3870,,1,9,3,,,,,,2006026,0,11599,5,2,#3870,2006025,
2006026,2006,驯服野生猴子Ⅱ,使用@item_11599#驯服野生猴子@1,使用@item_11599#驯服野生猴子@1,10,M_3870,,5,10,3,,,,,,2006027,0,11599,10,2,#3870,2006025,
2006027,2006,驯服野生猴子Ⅲ,使用@item_11599#驯服野生猴子@1,使用@item_11599#驯服野生猴子@1,10,M_3870,,20,11,3,,,,,,2006028,1,0,1,2,#3870,2006025,
2006028,2006,驯服焱焱蟹Ⅰ,使用@item_12521#驯服焱焱蟹@1,使用@item_12521#驯服焱焱蟹@1,10,M_3881,,1,1,4,,,,,,2006029,0,12521,5,2,#3881,2006028,
2006029,2006,驯服焱焱蟹Ⅱ,使用@item_12521#驯服焱焱蟹@1,使用@item_12521#驯服焱焱蟹@1,10,M_3881,,5,2,4,,,,,,2006030,0,12521,10,2,#3881,2006028,
2006030,2006,驯服焱焱蟹Ⅲ,使用@item_12521#驯服焱焱蟹@1,使用@item_12521#驯服焱焱蟹@1,10,M_3881,,20,3,4,,,,,,2006031,1,0,1,2,#3881,2006028,
2006031,2006,驯服雀莺Ⅰ,使用@item_12603#驯服雀莺@1,使用@item_12603#驯服雀莺@1,10,M_3883,,1,5,4,,,,,,2006032,0,12603,5,2,#3883,2006031,
2006032,2006,驯服雀莺Ⅱ,使用@item_12603#驯服雀莺@1,使用@item_12603#驯服雀莺@1,10,M_3883,,5,6,4,,,,,,2006033,0,12603,10,2,#3883,2006031,
2006033,2006,驯服雀莺Ⅲ,使用@item_12603#驯服雀莺@1,使用@item_12603#驯服雀莺@1,10,M_3883,,20,7,4,,,,,,2006034,1,0,1,2,#3883,2006031,
2006034,2006,驯服骆驼Ⅰ,使用@item_12613#驯服骆驼@1,使用@item_12613#驯服骆驼@1,10,M_3822,,1,9,4,,,,,,2006035,0,12613,5,2,#3822,2006034,
2006035,2006,驯服骆驼Ⅱ,使用@item_12613#驯服骆驼@1,使用@item_12613#驯服骆驼@1,10,M_3822,,5,10,4,,,,,,2006036,0,12613,10,2,#3822,2006034,
2006036,2006,驯服骆驼Ⅲ,使用@item_12613#驯服骆驼@1,使用@item_12613#驯服骆驼@1,10,M_3822,,20,11,4,,,,,,2007001,1,0,1,2,#3822,2006034,
2007001,2007,烤沃沃兽肉Ⅰ,在@item_1200#上将@item_12516#烤制成@item_12517#@1,烤@item_12516#@1,20,I_12517,,5,1,1,,,,,,2007002,0,12516,3,2,12516,,1113
2007002,2007,烤沃沃兽肉Ⅱ,在@item_1200#上将@item_12516#烤制成@item_12517#@1,烤@item_12516#@1,20,I_12517,,50,2,1,,,,,,2007003,0,12516,15,2,12516,,1113
2007003,2007,烤沃沃兽肉Ⅲ,在@item_1200#上将@item_12516#烤制成@item_12517#@1,烤@item_12516#@1,20,I_12517,,100,3,1,,,,,,2007004,0,12516,25,2,12516,,1114
2007004,2007,烤嘟嘟鸟肉Ⅰ,在@item_1200#上将@item_12518#烤制成@item_12519#@1,烤@item_12518#@1,20,I_12519,,5,1,2,,,,,,2007005,0,12518,3,2,12518,,1116
