id编号,标题,内容,作者,是否匿名
327,,Semoga bnyak skin atau event yg bgus pas update ocean nnti tapi misinya jngan susah ya,Yanzz,
328,Surat #1,"Refleksi sedikit untuk kamu yang membaca. Hidup itu sebentar, kamu yang membaca ini sudah meraih apa?
Kita perlu tau apa tujuan hidup kita agar bermanfaat untuk orang lain. Apa yang kita ketahui soal diri kita sendiri? 
Bukan hanya nama diri sendiri tapi jati diri kita sendiri dan siapa diri kita. 
Bila memiliki bakat kembangkan lah selama itu baik untuk kamu dan orang lain, jika tak mengetahui bakat mu sendiri mulailah untuk mengenali dirimu sendiri. 
Saya sendiri sebagai penulis masih ragu-ragu dengan jati diri sendiri dan siapakah diri saya? Tapi jangan pernah ragu untuk mengembangkan bakat yang kamu miliki dan mencari tujuan hidup, karena pasti ada yang terbaik yang bisa di temukan.
Bagaimanapun juga dalam masa yang akan depan ada suka dan duka yang menanti, dan kita harus siap menghadapinya. Paling tidak kita sudah membuat orang tua bangga. (⁠◕⁠ᴗ⁠◕⁠)",YHams,
329,Surat #2,"Pernahkah kamu ragu akan sesuatu dalam hidupmu untuk mencapai suatu hal? Atau mungkin lebih buruk dari itu. Kalau kamu pernah merasa gagal, ingat bahwa selama kamu masih bernafas kamu belum gagal sepenuhnya. Selalu ada jalan yang terbuka ketika kamu gagal, tak peduli seberapa parah namun ketika kamu melihat sisi lain kamu akan menemukan terang yang akan menuntun mu ke arah yang akan menuju akhir dari kegagalan. Bagaimana pun jangan ragu untuk membuat keputusan selama itu tak merugikan pihak manapun. Saya sebagai penulis ingin mengatakan kegagalan bukan akhir dari segalanya. Intinya, selagi kita mau berusaha semua, dan selama ada seseorang atau lebih yang mau mendukung kita, menyemangati kita, semua akan baik-baik saja.",YHams,
330,," (◍•ᴗ•◍).Dengan grafik dan gameplay yang unik mengapa mini world Masi menjadi game yang minim peminat ಠ_ಠ padahal kan seru walaupun masih ada kendala bug dan lag (⊙_◎)saya sudah main mini world dari 2020 hingga sekarang 2023 :) ngk terasa.saya sangat berharap mini world banyak yang main seperti free fire.Jadi saya tidak selalu kesepian dan bosan ,selalu mendapatkan teman yang baru itu menyenangkan sekali (˘･_･˘)...@Yhu Huu .
terima kasih bagi siapapun yang membaca ini semoga hari mu menyenangkan (๑•﹏•)",Yhu Huu,
331,,"Aku tidak sabar untuk menunggu versi ocean tiba.
Itu aja:)",ZexFox,
332,,Setiap hari gamenya mini world hehe soalnya seru banyak temen :v,Zuzu/Zee:|,
333,,Saya suka build di game tapi agak ga tau nanti mau build yang kaya apa hahahaha :v,Zuzu/Zee:|,
334,,Pengen punya banyak temen tapi pertemanan udah penuh :v,Zuzu/Zee:|,
335,,Ada yang mau jadi temenku ga?hehe :v,Zuzu/Zee:|,
336,,skin bayi naga di MW pake dot hahaha ha ha (please ketawa TvT),Zuzu/Zee:|,
337,,Semoga bagus banget ya oceannya (request di tambahin ombak sama karang ya mas/mbak depeloper hehehe :3),Zuzu/Zee:|,
338,,Coba deh tambahin ee struktur lagi kaya misal nih desa di setiap boime terus strukture di laut,Zuzu/Zee:|,
339,,"Sama tambahin apa gituh di cave,flams,mob baru,horas",Zuzu/Zee:|,
340,,Eh maaf ya klo request annya kebanyakan hehehe > v <,Zuzu/Zee:|,
341,,"Mau cerita nih semoga yang baca seneng ya :)

Nah waktu itu aku mau mecahin record (di map aku) yaitu mining 100 titanium aku kan udah siap,terus mining 3 jam lama ga tuh 3 jem.tapiii....hayoo apa hayoo eh canda :v.tapi pas udah 89 malah mati.nah tapi kan bisa pake bintang tapi malah ke pencet bangkit ilang deh barang barang ku sama titanium nya TvT mana matinya di lava lagi.aku mbatin:NOOOOO USAHA 3 JAMKUUU.
Hahaha itu salah satu pengalamanku paling absurd sih di MW.ada senangnya ada sedihnya.

Duh titaniumku ;) TvT",Zuzu/Zee:|,
342,,Hari minggu cuma kerasa sampe jam 12 klo udah lebih mah hawa hawa hari senin mulai kerasa :v,Zuzu/Zee:|,
343,," keasikan main MW hehehe soalnya aku bisa nyari temen aku ketemu temen pertama kali di map ""sekolah yuk"" nama temen ku tuh ee mirip sama aku yang satunya ga namanya 
""Aku zuzuzu"" sama ""AYAKA"" nah nama zuzu juga aku terinspirasi dari zuzu itu tapi sekarang mereka gada kabar huhuu :(.Tapi gpp yang penting aku masih punya banyak temen.
YESS THE POWER OF FRIEND SHIP SANGAT BIUTIFUL. ~THANK YOU MINI WORLD~",Zuzu/Zee:|,
344,,Di MW juga diminta jadi abang on wkwk adek ku ada 7 wow banyak kan :v,Zuzu/Zee:|,
345,,Keahlian ku di map MW adalah..........di kacangin ;) TvT,Zuzu/Zee:|,
346,,Ga sadar aku dari tadi curhat mulu hehe he :v,Zuzu/Zee:|,
347,,Apa harapan MINI WORLD buat tahun ini?klo aku sih pen ranking satu di semester 2 hehe.Semoga MINI WORLD panjang umur selalu makasih juga udah nemenin aku sejauh ini,Zuzu/Zee:|,
348,,Eh kok di miras pas mining gada diamond ya knp adanya di horas mana langka lagi,Zuzu/Zee:|,
349,,Nanti surat yang ku tulis beneran masuk botol ga nih.jangan jangan nanti pas main survival ada botol terus isinya tukisanku lagi hahaha :v,Zuzu/Zee:|,
350,,Satu bulan lagi puasa.MW mau puasa bareng aku ga atau yang lain (player mini world) hehe :3,Zuzu/Zee:|,
351,,Knp ya klo suka anime di sebut bau bawang,Zuzu/Zee:|,
352,,Hobi aku di MW itu build sama main di map orang :v,Zuzu/Zee:|,
353,,Si MW itu aku kira dulu pas download cuma bisa main single player eh ternyata uniknya bisa main multiplayer,Zuzu/Zee:|,
354,,Developer MW mau main bareng sama aku ga di game ini hehe he :3,Zuzu/Zee:|,
355,,Klo jenazah itu kan di pakaian kan kain kafan nah terus mbak kunti itu dapet daster dare manee (maaf klo agak horor dan tidak pantas),Zuzu/Zee:|,
356,,Kenapa air putih di sebut air putih padahal warnanya bening,Zuzu/Zee:|,
357,,Kenapa kalau berenang cuma tangan sama kaki yang keriput padahal satu badan masuk air kan,Zuzu/Zee:|,
358,,"Kan minyak sama air ga bisa kecampur nah klo miyak di oles ke telapak kaki,kita bisa jalan di atas air donk waaawww",Zuzu/Zee:|,
359,,"Klo jamur jamuran terus di kasi obat jamur,jamur yang ilang jamurnya atau jamur di jamurnnya",Zuzu/Zee:|,
360,,"Klo bakteri itu kotor bakteri itu punya bakteri di tubuhnya ga ya,klo ga punya brati bakteri bersih donk",Zuzu/Zee:|,
361,,Klo air mateng di campur air mentah itu jadinya air setengah mateng atau gimana,Zuzu/Zee:|,
362,,Klo lele suka main gitar namanya ukulele wahahahah (ketawa dong TvT),Zuzu/Zee:|,
363,,"Semua kehidupan manusia terjadi di kasur (lahir di kasur,tidur di kasur,dan hidupnya abis di kasur, maaf ya klo sensitif)",Zuzu/Zee:|,
364,,Klo kita ke toko diskon 20% knp ga beli 5 aj sekalian biar diskon 100% hahaha,Zuzu/Zee:|,
365,,"Kalo vampir gigit zombie,zombie nya jadi vampir atau vampirnya yang jadi zombie ?",Zuzu/Zee:|,
366,,Semua orang benci saat alarm bekerja dan tidak bekerja wkwk,Zuzu/Zee:|,
367,,Manusia takut di gigit laba laba padahal manusia lebih punya banyak gigi sedangkan laba laba takut diinjek manusia padahal laba laba punya lebih banyak kaki,Zuzu/Zee:|,
368,,Tembok itu kotor ya soalnya kita selalu ngepel lantai temboknya ga di pel sekalian hahah,Zuzu/Zee:|,
369,,Knp kembang sepatu dinamai kembang sepatu Padahal bentuknya ga kaya sepatu,Zuzu/Zee:|,
370,,Jam di temukan jam berapa ya hmm,Zuzu/Zee:|,
371,,Bekerja untuk hidup dan hidup untuk kerja yeee,Zuzu/Zee:|,
372,,Kan klo ke samber petir kemungkinannya kecil apakah orang kesamber petir itu hoki?,Zuzu/Zee:|,
373,,Kenapa klo kita takut hantu di malam hari bukannya klo siang hantunya lebih keliatan,Zuzu/Zee:|,
374,,Kalo gempa di bumi kan di sebut gempa bumi nah klo terjadi di bulan apakah namanya gempa bulan,Zuzu/Zee:|,
375,,"Pabrik semen yang pertama kali di bangun,semennya pake apa",Zuzu/Zee:|,
376,,Kenapa baju basah warnanya lebih gelap padahal air kan ga ada warnanya,Zuzu/Zee:|,
377,,Kemana perginya warna saat di kasih pemutih?,Zuzu/Zee:|,
378,,Klo pertama ketemu orang baru di mw agak canggung chat haha,Zuzu/Zee:|,
379,,Enaknya pulang sekolah makan terus main mini world :v,Zuzu/Zee:|,
380,,"Aku klo main mini world nemu pemain dari thailand,Indonesia,Malaysia.Keren ternyata ada beberapa negara yang main game ini",Zuzu/Zee:|,
381,,"Klo buka map survival terus rumahmu kayu tulisin rumahmu ""IYA RUMAHKU KAYU EMANG KENAPA!!!!"" biar ada penjelasannya sebelum di ejek rumahnya kayu hahahaha :v",Zuzu/Zee:|,
382,,Klo survival di awal awal itu kok rasanya susah banget gitu ya harus mining lah harus bikin base lah nah klo pas udah kaya baru puas :3 (jangan mengeluh dan bekerja keraslah maka akhirnya akan mendapat hasil yang membayar usahamu),Zuzu/Zee:|,
383,,Selamat bagi kemarin Argentina memenangkan piala dunia,Zuzu/Zee:|,
384,,Di mini world banyak banget pemain dari berbagai wilayah di nusantara aku aj nemu pemain yang tempat tinggalnya sama :v,Zuzu/Zee:|,
385,,Kerjain dulu PRnya baru main mini world,Mini Kapten,
386,,"Jangan sering main mini world sampe begadang hehe :v
tetap sehat!!!!!!!!!!!",Mini Kapten,
387,,Aku tinggal di jateng usiaku 13 tahun kalian gimana nih?,Zuzu/Zee:|,
388,,Banyak petualangan dan bisa belajar cara bertahan hidup di Mini World,Mini Kapten,
389,,"Aku bangun terus sekolah pulang jam 16.00 terus ngaji pulang jam 17.00 terus belajar,main mw,sholat,belajar,main mw sampe jam 22.00 :v kalo kalian gimana hari harinya",Zuzu/Zee:|,
390,,"Kalimat yangku ingat setiap mau berkreasi
""Bebaskan lah dirimu untuk berkarya dan janganlah berhenti berimajinasi""",Zuzu/Zee:|,
391,,Aku punya cita cita pengen jadi ilmuan sains ya agak mustahil sih tapi berusaha aj kalo kalian cita citanya apa nih,Zuzu/Zee:|,
392,,"Orang hebat bukan lah orang yang tidak pernah gagal tetapi orang yang bisa bangkit dari kegagalannya ^ v ^
",Zuzu/Zee:|,
393,,Bentar lagi valentime kalian mau ngadih kado buat temen/sahabat ga?mini world gimana ngerayain juga ga nih ^^,Zuzu/Zee:|,
394,,Jika terburu-buru akan merusaki segalanya,ℵ0@@♦»Blu«♦,
395,,Cahaya memandukan jalurku,ℵ0@@♦»Blu«♦,
396,,"Untuk diriku di masa depan, aku tidak tahu apa yang ada di kehidupanmu tapi aku berharap kamu bisa melewati semua rintangan yang ada di hadapanmu!",ℵ0@@♦»Blu«♦,
