ID,名字,描述,获得方式
22474,Mahkota bunga Laurel,Skin custom,@Null@
22475,Fairy Tailcoat,Skin custom,@Null@
22476,Floral Embrace,Skin custom,@Null@
22477,Sambutan Musim Semi,Skin custom,@Null@
22478,Cermin Bunga,Skin custom,@Null@
22479,Gelang Musim Semi,Skin custom,@Null@
22480,Kerudung transparan,Skin custom,@Null@
22481,Spring Blessings,Skin custom,@Null@
22482,Rambut Panjang Cobalt,Skin custom,@Null@
22483,Rambut Pendek Cobalt,Skin custom,@Null@
22484,Ransel Koala,Skin custom,@Null@
22485,Jejak kaki Bunga Monsoon,Skin custom,@Null@
22486,Balon Avatar,Skin custom,@Null@
22487,Sepatu Bot Ilusi,Skin custom,@Null@
22488,Gelang Bintang Utara,Skin custom,@Null@
22489,Seragam Tukang Kebun,Skin custom,@Null@
22490,Permen Karet,Skin custom,@Null@
22491,Fantasi Unicorn,Skin custom,@Null@
22492,Jejak Pelangi,Skin custom,@Null@
22493,Topi Jerami,Skin custom,@Null@
22494,Baju Terdampar,Skin custom,@Null@
22495,Celana Pantai,Skin custom,@Null@
22496,Jejak Berpasir,Skin custom,@Null@
22497,War of Order,Tukarkan di Mini Point Shop,@Null@
22498,Jurang Hitam Putih,Tukarkan di Mini Point Shop,@Null@
22499,Jas Crimson,Tukarkan di Mini Point Shop,@Null@
22500,Silver Red Dance,Tukarkan di Mini Point Shop,@Null@
22501,Hood Kucing Oranye,Dapatkan melalui Pengisian TopUp Pertama,@Null@
22502,Piyama Kucing Oranye,Dapatkan melalui Pengisian TopUp Pertama,@Null@
22503,Mainan Kucing,Dapatkan melalui Pengisian TopUp Pertama,@Null@
22504,Mawar merah,Skin custom,@Null@
22505,Apricot,Skin custom,@Null@
22506,Melodi Cyan,Skin custom,@Null@
22507,Gelang Hitam Putih,Skin custom,@Null@
22508,Arogan,Skin custom,@Null@
22509,Sembrono,Skin custom,@Null@
22510,Sayap Emas,Skin custom,@Null@
22511,Bakiak anak Ilahi,Skin custom,@Null@
22512,Amaterasu,Skin custom,@Null@
22513,Kupu-kupu Swallowtail,Skin custom,@Null@
22514,Holy Legion,Skin custom,@Null@
22515,Monthly Read,Skin custom,@Null@
22516,Star Story,Skin custom,@Null@
22517,Akademi Ilahi,Skin custom,@Null@
22518,Taat berdoa,Skin custom,@Null@
22519,Bulan Sabit,Skin custom,@Null@
22520,Mata tenang,Skin custom,@Null@
22521,Tarian Daun,Skin custom,@Null@
22522,Semangka Sweetheart,Skin custom,@Null@
22523,Anggur Emerald,Skin custom,@Null@
22524,Gadis Gembala,Skin custom,@Null@
22525,Juicy Tangerine,Skin custom,@Null@
22526,Strawberry Sweetheart,Skin custom,@Null@
22527,Manisan buah,Skin custom,@Null@
22528,Tongkat Jalan Gadis Ajaib,Skin custom,@Null@
22529,Sayap kupu-kupu,Skin custom,@Null@
22530,Mantel Reaper,Skin custom,@Null@
22531,Celana Reaper,Skin custom,@Null@
22532,Jubah Reaper,Skin custom,@Null@
22533,Topeng Reaper,Skin custom,@Null@
22534,Bayangan Reaper,Skin custom,@Null@
22535,Taste of Sea,Skin custom,@Null@
22536,Topi Jerami Liburan,Skin custom,@Null@
22537,Bunga Matahari Berangin,Skin custom,@Null@
22538,Deep sea,Skin custom,@Null@
22539,Pelaut Kecil,Skin custom,@Null@
22540,Papan luncur,Skin custom,@Null@
22541,Lemon musim panas,Skin custom,@Null@
22542,Sandal Pantai,Skin custom,@Null@
22543,Kacamata Grapefruit,Skin custom,@Null@
22544,Musim panas yang sejuk,Skin custom,@Null@
22545,Celana Pendek Berbintang,Skin custom,@Null@
22546,Pengapung Jeruk Nipis,Skin custom,@Null@
22547,Payung Daisy,Skin custom,@Null@
22548,Kerang bintang,Skin custom,@Null@
22549,Mood Messenger,Skin custom,@Null@
22550,celana pendek Mood,Skin custom,@Null@
22551,Pistol Air,Skin custom,@Null@
22552,Sepatu Kets Kontras,Skin custom,@Null@
22553,Jangkar Baret,Skin custom,@Null@
22554,Suara Langit,Skin custom,@Null@
22555,Wisteria Vine,Tukarkan di Mini Point Shop,@Null@
22556,Iblis Pencuri Gula,Tukarkan di Mini Point Shop,@Null@
22557,Sarung Tangan Mini,Tukarkan di Mini Point Shop,@Null@
22558,Sepatu keling,Tukarkan di Mini Point Shop,@Null@
22559,Little Ou,Dapatkan melalui Event Oppo,@Null@
22560,@Null@,@Null@,@Null@
22561,@Null@,@Null@,@Null@
22562,@Null@,@Null@,@Null@
22563,@Null@,@Null@,@Null@
22564,@Null@,@Null@,@Null@
22565,@Null@,@Null@,@Null@
22566,@Null@,@Null@,@Null@
22567,@Null@,@Null@,@Null@
22568,@Null@,@Null@,@Null@
22569,@Null@,@Null@,@Null@
22570,@Null@,@Null@,@Null@
22571,@Null@,@Null@,@Null@
22572,@Null@,@Null@,@Null@
22573,@Null@,@Null@,@Null@
22574,@Null@,@Null@,@Null@
22575,@Null@,@Null@,@Null@
22576,@Null@,@Null@,@Null@
22600,Ransel (1 hari),Skin custom,@Null@
22601,Kelinci Mi (1 hari),Skin custom,@Null@
22602,Ransel Challenger (3 hari),Skin custom,@Null@
22603,@Null@,@Null@,@Null@
22604,@Null@,@Null@,@Null@
22605,@Null@,@Null@,@Null@
23599,@Null@,@Null@,@Null@
23600,@Null@,@Null@,@Null@
23601,@Null@,@Null@,@Null@
23602,@Null@,@Null@,@Null@
23603,@Null@,@Null@,@Null@
23604,@Null@,@Null@,@Null@
23605,Kelinci Mi (30 hari),Skin custom,@Null@
23606,@Null@,@Null@,@Null@
23607,@Null@,@Null@,@Null@
23608,@Null@,@Null@,@Null@
23609,@Null@,@Null@,@Null@
24599,@Null@,@Null@,@Null@
24600,Eva (30 hari),"Dapat digunakan selama 30 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
24601,Skin Custom Pass,Hampir semua skin custom tersedia selama 30 setelah pembelian,@Null@
24699,@Null@,@Null@,@Null@
24700,@Null@,@Null@,@Null@
24701,@Null@,@Null@,@Null@
24702,@Null@,@Null@,@Null@
24703,@Null@,@Null@,@Null@
24704,@Null@,@Null@,@Null@
24705,@Null@,@Null@,@Null@
24706,@Null@,@Null@,@Null@
24707,@Null@,@Null@,@Null@
24708,@Null@,@Null@,@Null@
24800,Kitty-Shard,Unlock tunggangan Kitty. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari buah Kebun.,@Null@
24801,Pony-Shard,Unlock tunggangan Pony. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari buah Kebun.,@Null@
24802,Kakek Lin-Shard,Unlock skin Kakek Lin. Buka #cfa7a0fToko-Skin#n. Dapat didapatkan dari event.,@Null@
24803,Macan Tutul Salju-Shard,Unlock skin Macan Tutul Salju. Buka #cfa7a0fToko-Skin#n. Dapat didapatkan dari event.,@Null@
24804,Hamster-Shard,Unlock tunggangan Hamster. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari buah Kebun.,@Null@
24805,Ninja Frog-Shard,Unlock skin Ninja Frog. Buka #cfa7a0fToko-Skin#n. Dapat didapatkan dari event.,@Null@
24806,Skin-Shard,Skin-Shard dapat ditukarkan di Toko-Gashapon,@Null@
24807,Lynn-Shard,Unlock skin Lynn. Buka #cfa7a0fToko-Skin#n. Dapat didapatkan dari event.,@Null@
24808,Raul-Shard,Unlock skin Raul. Buka #cfa7a0fToko-Skin#n. Dapat didapatkan dari event.,@Null@
24809,Shard Naga Evil,Unlock tunggangan Naga Evil. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari buah Kebun.,@Null@
24810,Leonardo-Shard,NONE,@Null@
24811,Tunggangan Bulan-Shard,Unlock tunggangan Bulan. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari buah Kebun.,@Null@
24812,Thalia-Shard,Unlock skin Thalia. Buka #cfa7a0fToko-Skin#n. Dapat didapatkan dari kode tukar.,@Null@
24813,Jerry-Shard,@Null@,@Null@
24814,Squid-Shard,@Null@,@Null@
24815,Kereta Luncur-Shard,Unlock tunggangan Kereta Luncur. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari buah Kebun.,@Null@
24816,Tuk Tuk-Shard,Unlock tunggangan Tuk Tuk. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari Toko,@Null@
24817,Kerbau Keberuntungan-Shard,Unlock tunggangan Kerbau Keberuntungan. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari Toko,@Null@
24818,Leviathan-Shard,Unlock tunggangan Leviathan. Buka #cfa7a0fToko-Tunggangan#n. Dapat didapatkan dari Toko,@Null@
24819,Lotus-Shard,Unlock tunggangan Lotus. Buka #cfa7a0fToko-Tunggangan#n. Dapatkan di Kebun Buah,@Null@
24820,Raja Rusa-Shard,Unlock tunggangan Raja Rusa. Buka #cfa7a0fToko-Tunggangan#n. Dapatkan di Kebun Buah,@Null@
24821,Pangeran Naga - Song Shard,Unlock skin Pangeran Naga - Song. Buka #cfa7a0fToko-Skin#n.,Dapat didapatkan dari event
24822,Tangerine Tabby-Shard,Unlock skin Tangerin Tabby. Buka #cfa7a0fToko-Skin#n.,Dapat didapatkan dari event
24823,Bubbles-Shard,Membuka Skin-Bubbles. Check in #cfa7a1fShop-Skin #n. Diperoleh dari acara,Dapat didapatkan dari event
24824,Cool Mini Shard.,Buka kunci skin-cool mini. Check in #cfa7a1fshop-skin #n. Diperoleh dari acara,@Null@
24825,Howl-Shard,Membuka kunci Skin-Howl. Cek di #cfa7a1f Shop - Skin #n. Cara mendapatkannya: Tukarkan Mini Points,@Null@
24826,Deity Shen-Shard,Membuka Kunci Skin- Deity Shen. Cek di #cfa7a2f Shop - Skin #n. Cara mendapatkannya: Diperoleh dari event,@Null@
24827,Honeycomb-Shard,Membuka kunci Skin - Honeycomb. Cek di #cfa7a2f Shop - Skin #n. Cara mendapatkannya: Diperoleh dari event,@Null@
24828,Beacon- Shard,Buka Kunci Kulit - Suar. Cek di #cfa7a2f Shop - Skin #n. Cara mendapatkannya: Diperoleh dari event,@Null@
24829,Shard Ma Hongjun,Buka kunci custom-Ma Hongjun . Cek di #cfa7a5fToko-Custom#n. Cara dapatkannya: Event Operasi.,
24830,Versi terlalu rendah,,
24831,Feifei Shard,Membuka kunci Skin-Feifei. Cek di #cfa7a4fToko-Skin#n. Cara: Tukarkan Mini Points,
24832,Ronnas-Shard,Unlock Skin-Ronnas.  Cek di #cfa7a4ftoko - Skin#n. Cara: Didapatkan dari event.,
24833,Shard Superman Seprai,Unlock skin - Superman Seprai. Cek di #cfa7a4f toko-skin#n. Cara dapatkan: diperoleh dari acara.,
24834,,,
24835,,,
24836,,,
24837,,,
24838,Pecahan Dragon Fashion.,Membuka Kulit: Dragon Fashion. Periksa di #cfa7a4fShop - Skin#n. Cara untuk mendapatkannya: Acara Tertentu,
24839,Pecahan Gadis Oranye,Buka Kunci Gadis Kulit-Oranye. Cek di #cfa7a4fShop - Skin#n. Cara memperoleh: Event Tertentu,
25000,@Null@,@Null@,@Null@
25001,Kereta Labu Royal-Shard,Tunggangan Kereta Labu Royal. Cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Event,@Null@
25002,Kereta Labu Peri-Shard,Tunggangan Kereta Labu Peri. Cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Event,@Null@
25003,Cool Mini Hopter Shard,Tunggangan Cool Mini Hopter . cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Event,@Null@
25004,Trilobita Hopter Shard,Tunggangan Trilobita Hopter. cek di #cfa7a0fToko-Tunggangan#n.  Dapatkan dari Event,@Null@
25005,Angsa abu-abu Shard,Tunggangan Angsa abu-abu. cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Event,@Null@
25006,Angsa Astral Shard,Tunggangan Angsa Astral. cek di #cfa7a0fToko-Tunggangan#n. Obtain in Garden Fruit,@Null@
25007,Angsa Shard,Tunggangan Angsa. Check in #cfa7a0fToko-Tunggangan#n. Dapatkan dari Event,@Null@
25008,Jet Tempur Shard,Tunggangan Jet Tempur. cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Event,@Null@
25009,Jet Kecil Shard,Dapat ditukar dengan Tunggangan Jet Tempur atau Tunggangan Wing Jet. Cek di #cfa7a0fShop-Mount#n. Dapatkan dari Event,@Null@
25010,Invincible Whirlwind Shard,Tunggangan Invincible whirlwind . cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Event,@Null@
25011,Fragment of Ring Hero Luo,Tunggangi Heroluo. Cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Event,@Null@
25012,Shard Seadrake,Tunggangan Seadrake. Cek di #cfa7a0fShop-Mount#n. Dapatkan dari Event,@Null@
25013,Dragon Shard,Tunggangan naga. Cek di #cfa7a0fShop-Mount#n. Dapatkan di Garden Fruit.,@Null@
25014,Shard Kapal Picturesque,Tunggangan kapal yang indah. Cek di #cfa7a0fShop-Mount#n. Dapatkan di Garden Fruit.,@Null@
25015,Shard Karpet Ajaib,Tunggangan Karpet Ajaib. Cek di #cfa7a0fShop-Mount#n. Dapatkan di Garden Fruit.,@Null@
25016,Shard Burung mekanis,Tunggangan burung mekanis. Lihat di #cfa7a3f Shop-mount #n. Cara Memperoleh: Garden Fruit,@Null@
25017,Shard Cuckoo,Tunggangan Cuckoo. Lihat di #cfa7a4f Shop-mount #n. Cara Mendapatkan: Event Giftpack,@Null@
25018,Shard Turntable,Tunggangan Turntable . Lihat di #cfa7a3f Shop-mount #n. Cara Memperoleh: Garden Fruit,@Null@
25019,Shard Dudukan Bunga,Dudukan Bunga. Lihat di #cfa7a4f Shop-mount #n. Cara Memperoleh: Garden Fruit,@Null@
25020,Fan-Shard,Tunggangan Fan. Cek di #cfa7a5f Shop - Mounts #n. Cara mendapatkannya: Acara,@Null@
25021,Bow Wow-Shard,Tunggangan Bow Wow. Cek di #cfa7a6f Shop - Mounts #n. Cara mendapatkannya: Buah Kebun,@Null@
25022,Shard Emperor Colt,Emperor Colt . Cek di #cfa7a6f Shop - Mounts #n. Cara mendapatkannya: Mall,@Null@
25023,Shard Tiger,Tunggangan harimau. Cek di #cfa7a6f Shop - Mounts #n. Cara mendapatkannya: Buah Kebun,@Null@
25024,Shard Derek Kertas,Tunggangan Paper Crane. Cek di #cfa7a6f Shop - Mounts #n. Cara mendapatkannya: Kebun Buah,@Null@
25025,Sand Rider- Shard,Tunggangan Sand Rider. Cek di #cfa7a6f Toko - Tunggangan #n. Cara mendapatkannya: Kebun Buah,@Null@
25026,Fragmen Kunci Peri,Peri Key Mounts. Lihat di #cfa7a5f Store - Mounts #n. Dapatkan akses ke: mesin kartu Mounts,
25027,Shard Pedang Dewa,Tunggangan Pedang Dewa. Cek di #cfa7a0f Shop - Tunggangan#n. Cara mendapatkannya: Undian kartu,
25028,"Shard Scroll ",Tunggangan Scroll. Lihat di#cfa7a5f Toko - Tunggangan #n. Cara mendapatkannya: Buah Kebun,@Null@
25029,Shard Bak Mandi,Tunggangan Bak mandi. Lihat di #cfa7a0f Toko-Tunggangan#n. Cara mendapatkan: Undian Kartu,
25030,Shard Peri Rubah,Shard Peri Rubah. Cek di #cfa7a0f Toko - Tunggangan#n. Cara mendapatkannya: Undian Kartu,
25031,Shard Kereta Kucing,Shard Mobil Kucing. Cek di #cfa7a0f Toko - Tunggangan#n. Cara mendapatkannya: paket khusus,
25032,Shard Unta,Tunggangan Unta. Cek di #cfa7a0f Toko - Tunggangan #n. Cara mendapatkannya: Buah Homestead,
25033,Shard Merak,"Tunggangan Merak. Cek di #cfa7a0f Toko - Tunggangan #n. Cara mendapatkannya: Gashapon Tunggangan ",
25034,Shard Kue Bulan,Tunggangan Kue bulan. Cek di #cfa7a0f Toko-Tungganan #n. Cara mendapatkannya: Gashapon Tungganan,
25035,Shard Youth,"Tunggangan Youth. Cek di #cfa7a1f Toko - Tunggangan #n. Cara mendapatkannya: Gashapon Tunggangan ",
25036,Shard Skateboard,Tunggangan skateboard. Cek di #cfa7a2f Toko - Tunggangan  #n. Cara mendapatkannya: Buah Homestead,
25037,Shard Babi Terbang,Tunggangan Babi Terbang. Cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Gashapon,
25038,Shard Lampu Kelinci,Tunggangan Lampu Kelinci. Cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Gashapon.,
25039,Shard Kotak Makeup,Tunggangan Kotak Makeup. Cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Gashapon.,
25040,Shard Kepingan Salju,Tunggangan Kepingan Salju. Cek di #cfa7a0fToko-Tunggangan#n. Dapatkan dari Gashapon.,
25041,Shard - Mini Mobil Transformer,Tunggangan Mini Mobil Transformer. Cek di #cfa7a4ftoko - Tunggangan#n. Cara: Didapatkan dari event.,
25042,Shard Buku Perayaan,Tunggangan Buku Perayaan. Cek di #cfa7a4ftoko - Tunggangan#n. Cara: Didapatkan dari event.,
25043,Shard Monster Grunt,Tunggangan Monster Grunt. Cek di #cfa7a4fToko-Tunggangan#n. Diperoleh dari event.,
25044,Shard Rakit Bacang,Tunggangan Rakit Bacang. Cek di #cfa7a4fToko-Tunggangan#n. Diperoleh dari event.,
25045,Pecahan Laut Awan,Laut Awan (Montura). Lihat di #cfa7a5fToko#n. Cara mendapatkannya: Acara。,
25046,Pecahan Manis,"Lihat ""Sweetheart"" (montir), #cfa7a5fToko-Montir#n, acara.",
25047,,,
25048,,,
25049,Pecahan Kotak Musik,Mont mobil kotak musik. Cara perolehan: acara,
25050,Ayunan puing-puing,Swing Mounts. Lihat di #cfa7a5f Store - Mounts #n. Dapatkan dengan: Mounts Menggambar Mesin,
25051,Fragmen kerang,Gunung Shell. Lihat di #cfa7a5f Toko - Gunung #n. Dapatkan dengan: Gunung Laci,
25052,Koi Shard,Periksa Koi Mount di #cfa7a6fShop - Mount#n. Cara memperoleh: Mount Card Drawer,
25053,Pegasus Shard,Pegasus Mount Cek di #cfa7a7fToko - Mount#n. Cara mendapatkannya: Mount Card Drawer,
25054,Giant Shard.,Giant Mount Cek di #cfa7a8fShop - Mount#n. Cara untuk mendapatkannya: Mount Card Drawer,
25055,Trailblazer Shard,Periksa Trailblazer Mount di #cfa7a9fShop - Mount#n. Cara untuk memperolehnya: Mount Card Drawer,
25056,Serpihan Petarung Serigala.,Periksa Rawa Juara di #cfa7a10Toko - Mount#n. Cara mendapatkannya: Laci Kartu Mount,
25057,,,
25058,Pecahan Bunga Piala Emas,Gunung Bunga Piala Emas. Periksa di #cfa7a9fShop - Mount#n.,
25059,Pecahan Teratai yang Anggun,Gunung Teratai yang Anggun. Periksa di #cfa7a9fShop - Mount#n.,
25500,@Null@,@Null@,@Null@
25501,Rusa Putih (permanen),"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25502,Rusa Phoenix (permanen),"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25503,Raja Rusa (permanen),"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25504,Kuda Supersonik (Permanen),"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25505,Harimau Kecil(Permanen),"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25506,Star Crane (Permanen),"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25507,Kereta Labu (Permanent）,"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25508,Gelembung Lolo (Permanent）,"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25509,@Null@,"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25510,Nada Melodi(Permanent）,"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25511,Seribu Satu Malam (Permanen),"Dapat digunakan selamanya. Jika tunggangan sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
25512,Kunci Bayangan (Permanen),"Gunakan: Buka mount secara permanen. Jika mount telah dibuka secara permanen, dapatkan beberapa kacang mini. Perlu digunakan dalam antarmuka mount",
25513,Pedang panjang langit merah (Permanen),"Kegunaan: Membuka kunci tungganan ini secara permanen. Jika mount telah dibuka secara permanen, dapatkan Mini Bean. Perlu digunakan di UI tungganan.",
25514,Waktu senggang (permanen),"Kegunaan: Membuka kunci tungganan ini secara permanen. Jika tungganan telah dibuka secara permanen, dapatkan Mini Bean. Digunakan di UI tungganan.",
25515,Rubah Imut (Permanen),"Kegunaan: Membuka kunci Tungganan ini secara permanen. Jika Tungganan telah dibuka secara permanen, dapatkan Mini Bean. Digunakan di UI Tungganan.",
25516,Hijau hitam (Permanen),"Kegunaan: Membuka kunci Tungganan ini secara permanen. Jika Tungganan telah dibuka secara permanen, dapatkan Mini Bean. Digunakan di UI Tungganan.",
25517,Hati lembut (Permanen),"Kegunaan: Membuka kunci Tungganan ini secara permanen. Jika Tungganan telah dibuka secara permanen, dapatkan Mini Bean. Digunakan di UI Tungganan.",
25518,Bel ungu (Permanen),"Kegunaan: Membuka kunci Tungganan ini secara permanen. Jika Tungganan telah dibuka secara permanen, dapatkan Mini Bean. Digunakan di UI Tungganan.",
25519,Babi Terbang (Permanen),"Kegunaan: Membuka kunci Tunggangan secara permanen. Jika Tunggangan sudah dibuka secara permanen, akan mendapatkan Mini Beans. Harus digunakan di halaman perjalanan",
25520,Kotak Makeup Kecil (Permanen),"Kegunaan: Membuka kunci Tunggangan secara permanen. Jika Tunggangan sudah dibuka secara permanen, akan mendapatkan Mini Beans. Harus digunakan di halaman perjalanan",
25521,Kepingan Salju (permanen),"Kegunaan: Membuka kunci Tunggangan secara permanen. Jika Tunggangan sudah dibuka secara permanen, akan mendapatkan Mini Beans. Harus digunakan di halaman perjalanan",
25522,Mini Mobil Transformer (Permanen),Penggunaan: Dapatkan tunggangan ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen. Diperlukan digunakan di antarmuka tungganan.,
25523,Buku Perayaan (Permanen),Penggunaan: Dapatkan tunggangan ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen. Perlu digunakan di halaman tungganan.,
25524,Monster Grunt (permanen),Penggunaan: Unlock tunggangan ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen. Harus dipakai di halaman Tunggangan.,
25525,Rakit Bacang (permanen),Penggunaan: Unlock tunggangan ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen. Harus dipakai di halaman Tunggangan.,
25526,Gunung dan laut (abadi),Penggunaan: Buka kunci permanen berkendara. Sudah buka kunci? Dapatkan Mini beans. Di antarmuka kendaraan.,
25527,Pertemuan Manis (Permanen),Penggunaan: Buka kunci permanen berkendara. Sudah buka kunci? Dapatkan Mini beans. Di antarmuka kendaraan.,
25528,,,
25529,,,
25530,Kotak Musik Gembira (Permanen),"Gunakan: Buka kunci kuda ini secara permanen. Jika sudah terbuka permanen, dapatkan mini-kacang. Gunakan di antarmuka kuda.",
25531,Pucuk daun hijau (permanen),"Gunakan: Buka kunci dudukan secara permanen. Jika dudukan telah dibuka secara permanen, dapatkan beberapa kacang mini. Perlu digunakan di antarmuka mount",
25532,Cangkang bintang Shimmer (permanen),"Gunakan: Buka kunci dudukan secara permanen. Jika dudukan telah dibuka secara permanen, dapatkan beberapa kacang mini. Perlu digunakan di antarmuka mount",
25533,Carp Emas (Permanen),"Buka kunci pemandangan secara permanen. Jika sudah dibuka kunci, dapatkan mini-beans. Gunakan di antarmuka pemandangan.",
25534,Dream Shadow (Permanen),"Buka kunci pemandangan secara permanen. Jika sudah dibuka, dapatkan mini-kacang. Gunakan pada antarmuka pemandangan.",
25535,Big Guy (Permanen),"Buka kunci pemasangan secara permanen. Jika sudah dibuka, dapatkan mini-beans. Gunakan di antarmuka pemasangan.",
25536,Pioneer (Permanen),"Buka kunci pemandian secara permanen. Jika sudah terbuka kunci, dapatkan mini kacang. Gunakan di antarmuka pemandian.",
25537,War Wolf Legend (Permanen),"Buka kunci pemandangan secara permanen. Jika sudah terbuka, dapatkan mini-bean. Gunakan di antarmuka pemandangan.",
25538,Diting (Permanen),"Gunakan untuk membuka kunci Mount ini secara permanen. Jika Mount telah dibuka secara permanen, Anda akan mendapatkan Mini Beans. Gunakan di antarmuka Mount",
25539,Bunga Piala Emas (Permanen),"Gunakan untuk membuka kunci Mount ini secara permanen. Jika Mount telah dibuka secara permanen, Anda akan mendapatkan Mini Beans. Gunakan di antarmuka Mount",
25540,Teratai Anggun (Permanen),"Gunakan untuk membuka kunci Mount ini secara permanen. Jika Mount telah dibuka secara permanen, Anda akan mendapatkan Mini Beans. Gunakan di antarmuka Mount",
26000,@Null@,@Null@,@Null@
26001,Princess Soul (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26002,Dragonian - Scaly (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26003,Meow Meow (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26004,White Swan - Odette (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26005,Cecil  (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26006,Jessie (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26007,Speedy Swirly (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26008,@Null@,"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26009,Black Swan - Odette (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26010,Pangeran Katak - Croak (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26011,Baltan (1 day),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26012,Snow White - Sophia (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26013,Hansel (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26014,Gretel (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26015,@Null@,"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26016,@Null@,"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26017,@Null@,"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
26018,Howl (1 hari),"Dapat digunakan selama 1 hari. Jika skin sudah di-unlock secara permanen, kamu akan mendapatkan Mini Bean",@Null@
