ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
156,Alyssa,"Alyssa, Gökkuşağı Sihirli Krallığı'nın prensesidir.Güzel sarı saçları ve başında bir tacı vardır. Canlı ve neşeli bir kişilik, macera ve konuşmayı seven, hiç korkmayan, fakat problem yaratiyor. Mutsuz olduğunuzda, boyamak için sihirli rengi kullanacaksınız.",@Null@,Avatar: Avatarın kilidini açın.,Özel vücüt efekti: vücuttan yayan büyülü enerji!,@Null@,,,
157,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
158,Vampiric sihirbaz lotte,"Bir ıslık, kar tüyü baykuş uçtu, gençlerin omuzlarında durdu.
Soluk beyaz tenli genç, baykuştan mektubu alır, yeşil gözlerini gözden geçirir, sormak için kafasını yatırdı,
""Sihir bilen bir vampir gördün mü?""",@Null@,Avatar: Kilit açma profil resmi,Vücut Efektleri: Etrafınızda yüzen büyülü yıldızlar!,@Null@,,,
159,Ay Perisi,@Null@,@Null@,Avatar: Kilit açma profil resmi,"Vücut Etkileri: Çiçekler ve Beyaz Bunnies, etrafınızda yüzen baskılar!",@Null@,,,
160,Yeşim,"Lotus yapıştırın ya da hünnap salçası mı? Muhallebi veya maçta? Her şeye sahibiz!
Küçük ay kekler, yuvarlak dış ciltinde, sürprizlerle dolu, içinde harikalar yatıyor.
Bu bayan şef, Çin tarzı tatlıları evrenin karşısında eğilime bağlı yepyeni bir seviyeye getirerek sınırsız yaratıcılığı ortaya çıkaracak! Ve sen, bu tatlı göksel tadı kabul etmeye hazır mısın?",@Null@,Avatar: Kilit açma profil resmi,Vücut Etkileri: Etrafınızda yüzen küçük kelebekler!,@Null@,,,
161,Trompetçi Nita,"Nita, aslen Roselle'in evinin bahçesinde bir porselen tavşan bebekiydi. Roselle'in her gece bahçede sihir yapmaya çalıştığı duruma tanık oldu, çünkü annesini özledi ve sihir tarafından hayat verildi. Ormandan geçip dikenleri iterek, sihirli bahçenin tekrar çiçek açmasına izin vermek istedi.",@Null@,Avatar: Kilit açma profil resmi,Vücut Efektleri: Etrafınızda yüzen müzikal notalar!,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
162,Davulcu nick,"Nick ve kız kardeşi Nita, iletkenin Roselle'nin evinin bahçesine verdiği bir çift tavşan seramik süslemesidir. Bahçede kalmak isteyen Nita'nın aksine, Nick gizlice iletken için daha önemli olduğunu ve orkestraya geri dönmek istediğini hissediyor.",@Null@,Avatar: Kilit açma profil resmi,Vücut Efektleri: Etrafınızda yüzen müzikal notalar!,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
163,Dragonbell,@Null@,@Null@,Avatar: Kilit açma profil resmi,FootPrints: Steam Bun ayak izleri nereye giderseniz gidin kalmıştır.,@Null@,,,
164,On dokuz,"Hey, bir çocuğa benziyor, ama o gerçek bir usta. Master Wanli ve kardeşlerinin varlığı ile katil ""Uçan Ejderha"" kolayca açıklanmayacak. Tabii ki yeterince, kardeşlerimle en çok oyun oynamaktan hoşlanıyorum! Eğer kaybedersen ... senin için ağlayacağım!",@Null@,Avatar: Kilit açma profil resmi,Vücut Etkileri: Kafasında yüzen enerji parçacıkları!,@Null@,,,
165,Tweetheart teddy,"Yumuşak şekerlerin yumuşaklığı ve sert şekünlerin sertliği kalıtım açısından hepsidir. Sadece orta, yumuşak ve zorlu, yenilikçilik açısından, paketimde, şeker ayı en iyisidir. Binlerce kelime, küçük ayının kalbi en tatlısadır.",@Null@,Avatar: Kilit açma profil resmi,Ayak izleri: Şekerler düşecek ve yürüyen yerlerde ayak izleri ayrılacak.,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
166,Rüya gibi,"Esneme benim imza eylemim. Herkes bana bir gün hayalperest diyor. Güneş, yıldızlar ve ayın hepsi yumuşak yastığımda. Gözü kapalı koyun ve hemen uykuya dalın. Gece gündüz, gel ve benimle hayal!",@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: vücutta yüzen uykulu kabarcıklar!,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
167,Polistimal,"Yaşamın sisleri ortaya çıkardığında, yaklaşmaya cesaret edersiniz, gerçeği gizleyen gizli kapı?
O, ekibe emanet eden kalenin kraliçesidir ve evde hapsedilen bir teknoloji kızı. Bunu duydunuz mu? Yüksek sesle ağlarken: ""Beni kızdıran kişi kesinlikle eteğimin altındaki kaybedenler olur!""",@Null@,Avatar: Kilit açma profil resmi,Yürüyüş ayak izleri: Nerede olursanız olun parlayan kabarcıkların ayak izlerini bırakmak.,@Null@,,,
168,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
169,Siren,"Kuşlar şarkı söylerken ve dans ederken, insanların kalpleri hakkında bir şeylerle ilgili olarak. Zaman geçtikçe ve esinti zayıftı, dünyanın hükümdarı çıkacak. Kaderini ve inançlarını anlıyor. Çünkü korunması gereken şeyler altından ve mücevherlerden daha değerlidir.",@Null@,Avatar: Kilit açma profil resmi,Vücut Etkileri: Golden Ginkgo vücutta yüzüyor!,#cda5b0a Interactive: Boş Hou ile etkileşimli eylemi tetikleyebilirsiniz! #n,,,
170,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
171,Gökyüzü marquis,"Bir kabusda hapsolmuş İmparator, kalan zaferi bulmak için mücadele ediyor. Kadar, ruhun ağlamasını duydu ... şarkı söylüyor muydun? Takip et ve hayatta kal!",@Null@,Avatar: Kilit açma profil resmi,Vücut Özel Efektler: Camgöbeği enerji parçacıkları vücutta yüzüyor!,#cda5b0a etkileşimi: İnteraktif hareketleri Warbler'ın başlangıcıyla tetikleyebilirsiniz! #n,,,
172,Ni Yu 'er,"Dans eden etekler ve şarkı söyleyen hayranlar, neon kıyafetler ve tüyler, 
 Hayranım ve kıyafetlerim gibi mi? 
 Sadece bu kızı bul!",,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,Vücut Etkileri: Etrafta yüzen yeşil çiçekler!,,,,
173,Xie Zhili,"İnsanın başlangıcında, doğa doğası gereği iyidir. Seks yakındır, ancak alışkanlık çok uzaktır. 
 Eğer söylememi istiyorsan, dövüşmek ve öldürmek hiç de havalı değil.",,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,Vücut Efektleri: Çince karakterler vücudun etrafında yüzüyor!,,,,
174,Casper,"El fener, omzunuzda bir kuzgun ile, gecenin koruyucusu kimdir?
Vücut, karanlığı dağıtma yeteneğine sahip, ancak sadece huzurlu ve iyi bir uyku için özlüyor.
Eğer biri iyi değilse, haçımı denemesine izin verin!",@Null@,Avatar: Kilit açma profil resmi,Ayak izleri: Siyah alevler yürüdüğünüz her yerde kalır.,@Null@,,,
175,Olivia,"Gece etek ipliği ile dekore edilmiştir, kimse buketleri için canlandırmaz. Yaşamayan ya da ölmeyen ölümsüz çiçek, solmaz ya da solmaz, bana söyleyebilir misiniz, beni kurtardı mı?",@Null@,Avatar: Kilit açma profil resmi,Ayak izleri: Güller yürüyün her yerde kaldı.,@Null@,,,
176,Yuna,Bu gece sevimli bir kara kedinin içine girin ve bu cadının haklarını kullanmak için insanlara gidin!,@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: gizemli yarasalar vücudu çevreliyor!,@Null@,,,
177,Andrew,"Gece düştüğünde, karanlık yavaş yavaş dünyayı sardı. Örümcekler ağlar, yarasalar seyahati, ben gizemli ve yakışıklı Cadılar Bayramı ruhuyum.",@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: gizemli yarasalar vücudu çevreliyor!,@Null@,,,
178,Aşırı Canavar Ajan Kurt Gümüş,"Wolf Gümüş, beyaz kurt klanında doğdu, çevik, sakin ve belirleyici doğdu. Yüksek Manda Yıldızı Özel Ajan Organizasyonu - ""Canavar Saldırısı"" üyesidir. Çarpışma tarafından kullanılan silah, Mecha Meow'un yardımıyla bir silah bıçağıdır. Takımda, yakın zamanda savaşta bir forvet görevi görür. Genellikle eldivenin içine gizlenmiş rotor uçağı, saldırıya yardımcı olmak için kullanılabilir.",@Null@,Avatar: Kilit açma profil resmi,FootPrints: Yürüdüğünüz her yerde ajan simgeler bırakılır.,@Null@,,,
179,Prenses ruhu,"Gerçek isim Hua Ling'dir ve çoğu insan prenses ruhu denir. O, hayatı koruduğu tanrıça. Yaşam ve ruh sayesinde güzel ve muhteşem çiçek tapınağında yaşıyor. Dünyanın yaratıklarını sevgiyle korumak, insanlara sadece dışarıda bir samimiyet duygusu verir, ancak içeride de çok naziktir.",@Null@,Avatar: Kilit açma profil resmi,Vücut Etkileri: Vücutta yüzen çiçekler ve kelebekler var!,@Null@,,,
180,Dragonsky,"Fairyland'ın acımasız ejderha kızı, ancak hayal gücü ve özgürlük için özlemlerle dolu bir kalbi var. Şans eseri, palyaşı, küçük ejderha ile tanıştı ve atıştırmalık alışverişi için bir dostluk kurdu. Bir gün kullanışlı gelmeyi umarak, pullu olmayan dış dünyayla ilgili çok fazla bilgi edindim.",@Null@,Avatar: Kilit açma profil resmi,Yürüyüş ayak izleri: Nerede olursanız olun kemik ayak izlerini bırakmak.,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
181,Türkiye Uzman Tork,"Tork, yemek pişirme yıldızının gizemli şefidir. Sadece Şükran Günü'nde yıl boyunca yaklaşırken açılan Türkiye mağazasına sahip. Ve ne zaman ortaya çıktığında, kaçınılmaz olarak imza yemeklerini kızartma hindi getirecek.",@Null@,Avatar: Kilit açma profil resmi,"Footprints: Türkiye ayak izleri, yürüdüğünüz her yerde kalır.",#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
182,Çilek reçeli berry,"Berry, çilek en iyisini tanıyan kişidir. Çileğin her yönünden, dikim ve tomurcuklanandan çiçekli ve meyvelere kadar masaya hizmet etmek için toplayıcıya kadar her yönden hoşlanıyor, meyvelerden hoşlanıyor.",@Null@,Avatar: Kilit açma profil resmi,"Ayak izleri: Çilek ayak izleri, yürüdüğünüz her yerde kalır.",#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
183,Ganesh,"Ganesh, bilgeliği ve sanatı engelleri kırmak ve başarı ve mutluluk getirmek için birleştirir. Dünyada mükemmel ve ideal bir kader olmayacak. Başarı elde etmek isteyen herkes bilgi edinmek veya bilgelik kazandırmak, çaba ve fedakarlıklar yapmalıdır.",@Null@,Avatar: Kilit açma profil resmi,Vücut Etkileri: Vücudunda yüzen lotus yaprakları!,@Null@,,,
184,Edm kraliçesi sasha,"Sasha, terasta en popüler şarkıcıdır, ancak popülerliği de büyük sorunlarına neden oldu ve Sasha'nın müzik kariyeri bir süre durdu. Mini-ritmi tesadüfen tanışıncaya kadar, bu son derece yetenekli DJ ona ilham verdi ve Sasha'yı kariyerinin bir şarkıcı olarak bir şarkıcı olarak zacatını getiren elektronik müzik yaratma ile denemeye başladı.",@Null@,Avatar: Kilit açma profil resmi,Vücut Etkileri: Renkli Notlar Vücutta Yüzen!,@Null@,,,
185,Göksel Guardian Yuni,"Phoenix etki alanındaki son tek boynuzlu atların büyülü ormanının büyülü ormanında yaşadığı. Büyü giderek daha kıt olduğunda bir dönemde, tek boynuzlu atlar da neslinin tükenmesi ile karşı karşıyadır. Gruptaki en küçüğü olan Yuni, sihirbazın büyülü gücü karşılığında orman uzmanlıklarını kullanmak için ""Magic Pearl"" na kullanılmak için inişli çıkışlı bir yolculuğa çıktı ...",@Null@,Avatar: Kilit açma profil resmi,Ayak izleri: Bir papyon ayak izi bırakır,@Null@,,,
186,Yun Shang,"Tam uygulamalı yeteneği ve hayal gücüne sahip bir kostüm tasarımcısı ve yaratıcılık ve mirasa dikkat eden bir yıldızlararası bir gezgindir.
Dragon Star bölgesindeki çeşitli gezegenler arasında, çeşitli kıyafet stillerini incelemek.
Farklı giyinme stillerini denemek istiyorsanız, onu arayın!",@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: vücutta yüzen pembe çiçekler!,@Null@,,,
187,Xiang er,"Xiang Er, Star'ın kışlık elçisini aşıyor ve kış festivalini organize etmek için gündüz ve gece çalışıyor. Kış Gündönümü'nden Yeni Yıl Günü'ne kadar, her zaman meşgul olur ve bunu fark etmeden önce, Yeni Yıl buradaydı!",@Null@,Avatar: Kilit açma profil resmi,FootPrints: Kuzu ayak izleri yürüdüğünüz her yerde kalır.,@Null@,,,
188,Ting huai,"Çok Beklenen Bir Çocuk Prodigy yeteneği, rüya işini artırmak üzereyken aydınlanıp dolandırıcı bir yalınayak bilgin olarak yola çıktı. Stargate'in öğrencilerine tesadüfen yardım ettikten sonra, Fairyland'a girmeyi başardı ve ""Peach Blossom Bahar"" ın fantezi versiyonunun yolculuğuna başladı ...",@Null@,Avatar: Kilit açma profil resmi,Vücut Etkileri: Bambu vücutta yüzer bırakır!,@Null@,,,
189,Aslan dansçı Dragonet,@Null@,@Null@,Avatar: Kilit açma profil resmi,FootPrints: Nereye yürüyerserseniz gidin ortanca ayak izlerini bırakın.,@Null@,,,
190,Bal peteği,"Gökten aşağıya doğru bal yok! Bu petek mantra. Şehirdeki yeni bir üye olarak, titizliği herkesi etkiledi. Sabah saat dokuz saatte her pazartesi, her zaman herkesin kapılarında taze bal kavanozu vardır. Herkes bu, şimdiye kadar yedikleri en iyi bal olduğunu söylüyor.",Kilidi açma eşyası etkinlikten elde edilir,Avatar: Kilit açma profil resmi,Ayak izleri: Bal ayak izlerini yürürseniz geçirir.,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
191,Tanrı shen,"Sürgün edilmiş bir ölümsüz gibi, son derece yakışıklı olan dış dünyaların ustası. İllüzyonlarda iyi, genellikle dünyadan kaçmak için bir vinç haline dönüşüyor. Moon Peri'nun çok yakın olan yabancılar için bilinmeyen gizemli bir kimlik var ve en çok sinirlendikten korkuyor.",Kilidi açma eşyası etkinlikten elde edilir,Avatar: Kilit açma profil resmi,Vücut etkileri: etrafta yüzen mavi aura var!,@Null@,,,
192,Yun Yan,"Tilki klanının en genç kızı ve Bulutsusu Kılıç Peri'nin Cang Hong, uzun vadeli bir arkadaştır. Cang Hong'dan etkilenen, sihir ve teknolojiyi sevmiyor ve her türlü mekanik gadget'la keman yapmayı seviyor, bu da klanın bir ayin gibi görünmesini sağlayan her türlü mekanik gadget'la. Ancak, Yun yan umursamıyor, diğer insanlar teknoloji hakkında bilmiyor ve ne kadar şaşırtıcı!",@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: pembe kalpler etrafta yüzüyor!,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
193,Cang hong,"En çok gizemli ""kılıç ölümsüz"", arenada dolaşan cang Hong ismine ek olarak, kimse yaşını, kökenini ve ikametgahını bilmiyor. Kılıcının ölümsüz bir kılıç olduğu söylenir. Swung, kılıç gövdesi, her şeyi kesebilecek ölümsüz ışıkla parlar. Ancak az bilinen şey, bu kılıç aslında Gomanda Star'dan gelmesidir.",@Null@,Avatar: Kilit açma profil resmi,Vücut Etkileri: Vücut peri ışığıyla parlar!,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
194,Katrina,"Bir zamanlar sevdiğiniz kişiyi unutmanız ne kadar sürdü?
500 yıl geçirdi, karanlık bir elçi olarak enkarn, gündüz ve gece sayısız uçuruma varışını bekliyor. Her yalnız gecede, onu son bir kez görmek için ölümsüz bir dansçıya dönüştü.",@Null@,Avatar: Kilit açma profil resmi,Vücut efektleri: Kelebekler etrafta uçuşuyor!,@Null@,,,
195,Örümcek kız,"Kendimi boğanın gözüne koymayı seviyorum, çünkü bir sonraki ikincisi, bir akıllı avcı hiçbir yere ulaşamıyor.
Kaçış umudu yok, direnişten vazgeçmek daha iyidir. Ne de olsa, dünyadaki en tatlı rüya, örgüylediğim web.",@Null@,Avatar: Kilit açma profil resmi,Ayak İzleri: Yürüdüğünüz her yerde örümcek ayak izleri bırakır.,@Null@,,,
196,Miranda,"Altın defne tacı bana bilgelik ve güç verir. Ateşli kırmızı güneş büyümek için her şeyi besler. Herkes tarafından Güneş Muse olarak adlandırılan ben, yaşam ışığının asla sönmemesi için içtenlikle dua ediyorum.",,Vücut Etkileri: Oyun deformasyon işlevini gerçekleştirebilir ve formu değiştirebilir!,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,Vücut Etkileri: Güneş vücudunuzda parlıyor!,#cda5b0a Deformasyonu: Normal / radyan formu değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,,
197,imparator kahraman,Sonsuz evrendeki en güçlü zırh imparatordur. O kralın üstündedir. Tek ve ilk zırhlı canavar.,@Null@,Vücut Efektleri: Oyunda dönüştürebilir ve formu değiştirebilir,Avatar: Profil resminin kilidini aç,Ayak İzleri: Yürüdüğünüz her yerde imparator totem ayak izleri bırakın.,#cda5b0aDönüştürme: Normal / nihai forma geçmek için soldaki Dönüştür düğmesini tıklayın! #n,,
198,Hu Xinyu,"Parıltılı hazineleri yumruklayan ve toplayan bir dövüş sanatları ustası!
Büyük külçelerden bakır madeni paralara, küçük kabuklu camlara kadar hepsi benim favorilerim.
Bana samimiyetini göster, ben de parıltımı paylaşayım!",@Null@,Avatar: Profil resminin kilidini aç,Ayak İzleri: Yürüdüğünüz her yerde çanta ayak izleri kalır.,@Null@,,,
199,Hu Xiaofeng,"Rüzgar havayı deldi. Kan kalbi karıştırdı. Kendinle yarış. korkma! Kendinle yarış! Parmaklarını bağla, binlerce hareket, hadi gidelim!",@Null@,Avatar: Profil resminin kilidini aç,Ayak izleri: Yürüdüğünüz her yerde kaplan ayak izleri kalır.,@Null@,,,
200,Evelyn,"Dereyi geçmek, dağların arasından yürümek, cıvıldayan kuşları dinlemek, kır çiçeklerinin kokusunu almak. Cebime bir kelebek girerse korkma! seni özgür bırakacağım.",@Null@,Avatar: Profil resminin kilidini aç,Vücut etkileri: Vücut üzerinde yüzen pembe kelebekler.,@Null@,,,
201,Tirin,"Gerçek ormanda gizlidir. Gizem tepelerin arkasına saklanıyor. Bilgi akıllı beyinden gelir, ancak bilgelik pratikte parlar!",@Null@,Avatar: Profil resminin kilidini aç,Vücut etkileri: Vücut üzerinde yüzen turuncu kelebekler.,@Null@,,,
202,Don,"Bulut gibi kabarık saçlar, mücevher gibi parıldayan gözler, kelebek gibi parlak saç tokaları. Pamuk şeker kadar tatlısın! Gelin, bu hafif ve yumuşak bulut denizinde benimle sevincin tadını çıkarın.",@Null@,Avatar: Profil resminin kilidini aç,Vücut etkileri: Vücut üzerinde yüzen şekerlemeler.,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
203,Kelebek Çiçek Perisi,@Null@,@Null@,Avatar: Profil resminin kilidini aç,Vücut etkileri: Vücutta yüzen mor kelebekler.,@Null@,,,
204,alev kahraman,"Beşinci element olan ateş, en fazla yeteneğe ve potansiyele sahiptir.
İki kişinin aynı anda çağırmasına izin veren tek zırh. En yavaş yetenek tüketimine sahip zırhtır.",@Null@,Avatar: Profil resminin kilidini aç,Ayak izleri: Yürüdüğünüz her yerde Alev Kahramanının ayak izleri kalır.,@Null@,,,
205,Karnaval kraliçesi,"Dans elbiseleri sayısız elmas ve pullarla kakıldığı parlak güneşte altınla parlıyordu; Karnavalın kraliçesi yüksek ruhlardaydı, şarkı söylüyor ve dans müziğine dans ediyordu. Hem dansçılar hem de izleyiciler, karnavalın şarkı ve dansında tüm sıkıntılarını unutuyorlar.",@Null@,Avatar: Kilit açma profil resmi,Ayak izleri: Nerede olursanız olun renkli şerit ayak izlerini bırakın.,@Null@,,,
206,Bambu Dwen,"Siyah ve beyaz mükemmel uyumlardır. Seni ve yeşil bambunu seviyorum! Beni yanlış anlama, seni yemem~",@Null@,Avatar: Kilit açma profil resmi,@Null@,@Null@,,,
207,beyzbol kahramanı,"""Beyzbol sahasında, 'meyilli' ve 'sürahi' hem şaşırtıcı.
""Tarihteki en güçlü çift bıçak akışı"" olarak bilinir. """,@Null@,Avatar: Kilit açma profil resmi,Ayak izleri: Nereye olursanız olun beyzbol ayak izlerini bırakın.,@Null@,,,
208,Mota,"Denizin derinliklerinde özgürce yüzmek.
Ben okyanustaki el ilanıyım. Gökyüzündeki en hızlı yüzücüyüm.
Beni bul ve gerçeği bulacaksın.",@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: Vücuttan damlayan baloncuklar.,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
209,Ateş Çiçeği,"Bahar şenliği yaklaşıyor ve havai fişeklerin sesi gece gündüz çalacak.
Bak, havai fişekler! Benimle bir dilek tut!",@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: Vücuttan yüzen pembe çiçekler.,@Null@,,,
210,flaş,"Sihirli numaralar yapın ve dileğinizi gerçekleştirin. Yıldız, lütfen parlamaya devam et. Dileklerimizi duyun!",@Null@,Avatar: Kilit açma profil resmi,Ayak izleri: Yürüdüğünüz her yerde yıldız ayak izleri bırakın.,@Null@,,,
211,işaret,"Savaş davulları uğulduyor. düşmanım nerede? İşaret ateşleri gökyüzünde, ölüm ve yaralanma korkusu olmadan vatanı koruyor. Öfke, savaşma niyetine dönüşür. İnanç her zaman kalbimde ve daire çizen ejderha eninde sonunda tekrar gelecek!",Ürün Kilidini Etkinlikte Satın Alınabilir,Avatar: Kilit açma profil resmi,Vücut etkileri: Vücuttan süzülen kıvılcımlar.,@Null@,,,
212,Rüya Şair,"Wu ata binebilir ve kılıç sallayabilir. Wen resim yapabilir ve şiirler okuyabilir.
O sadece yenilmez!",@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: Vücuttan yüzen pembe çiçekler.,@Null@,,,
213,futbol kaptanı,"Bir zamanlar sokakta çıplak ayakla oynayan çocuk, şimdi yeşil sahada durdurulamaz bir kartal haline geldi, top sürüyor, sürekli pas geçiyor ve sert şut çekiyor. Tarih yaratmak, ekibini bir kez daha kazanmaya yönlendirmek.",@Null@,Avatar: Kilit açma profil resmi,@Null@,@Null@,,,
214,Shirley,"Binlerce yıllık rüzgar ve kar, soğuk ve ılık olmayan bir yüreğe esiyor. Bir kardan adama refakatçi olarak sahip olmak bir şanstır. Tek istediğim karın erimemesi.",@Null@,Avatar: Kilit açma profil resmi,Impronte: lascia impronte di fiocchi di neve ovunque cammini.,@Null@,,,
215,Budi,"Budi güzel Güneydoğu Asya'da yaşıyor. Moda onunla eş anlamlı.
En sevdiği şey sahil şeridinde motosiklet sürmek ve arkadaşlarıyla deniz melteminin tadını çıkarmak.",@Null@,Avatar: Kilit açma profil resmi,@Null@,@Null@,,,
216,Tanrıça,"Dewi, çocukken büyükannesinin ona öğrettiği dansları yapıyor. Dans etmek, güneş, deniz meltemi ve palmiye yapraklarının taze kokusuyla ilgili eski anısını geri getiriyor.",@Null@,Avatar: Kilit açma profil resmi,@Null@,@Null@,,,
217,Gölgegetiren,Gölgelerde gizlenmiş hızlı ve hassas bir dansçı. Çevikliği ve koyu yeşil kapüşonu onun ayırt edici özellikleridir. İnsanlar onun adını bilmiyor. Sadece yıldızların ve ayın gölgesinde kötüleri cezalandıran gizemli bir kadının olacağını biliyorlar.,@Null@,Avatar: Kilit açma profil resmi,@Null@,@Null@,,,
218,Lotus Prensesi,"Prenses Lotus'un tasarımı Miniworld Vietnam Giyim Tasarım Yarışması Şampiyonu çalışmasından geliyor. Lolita etekleri ve kısa ceketler, Vietnam geleneksel estetiği ve modern unsurlarla birleştirilmiş sevimli ve yakışıklı birleştiriyor. Eski ve modern, adım adım geçerek, sadece sizinle tanışmak için Jin Sui'yi kucaklayın.",@Null@,Avatar: Kilit açma profil resmi,Fiziksel Özel Etkiler: Lotus vücutta dağılmıştır!,@Null@,,,
219,Kabus ayı,Kız kardeşiyle yaşadığı çatışmalar onu kabus ay prensesi yaptı. Uyumlu bir enerji onu etkiledikten sonra kız kardeşinin yanına dönmeyi seçti. Çok naziktir ve yalnız kalmaktan korkar. Krallığının insanlarına yakındır.,@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: Vücuttan yüzen yıldız ışığı.,@Null@,,,
220,Glicita,Sokak köşesi izlerimi gösteriyor. Grafiti anılarımı kaydeder. Her sanatımın arkasında teslim edilen bir aşk var.,@Null@,Avatar: Kilit açma profil resmi,Ayak İzleri: Yürüdüğünüz her yerde grafiti ayak izleri bırakın.,@Null@,,,
221,Liko,"Grafiti benim tutkumdu. Duygularımı eserlerimle ifade ettim. Grafiti benim aşkım. Püskürtün, sokak sanatıdır.",@Null@,Avatar: Kilit açma profil resmi,Ayak İzleri: Yürüdüğünüz her yerde grafiti ayak izleri bırakın.,@Null@,,,
222,Uyanmış Nini,Kartal tüyü gökyüzünü ikiye böldü. Asa bölgeyi çevreledi. Kabilemin güvenliğini korumak benim için bir onurdur!,@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: Vücuttan yüzen enerji parçacıkları.,@Null@,,,
223,Uyanmış Kaka,Ateş olmayınca mum söner. Bir hırs tüm zorluklardan sonra kalabilir mi? Genç adam her zaman yalnız yürür!,@Null@,Avatar: Kilit açma profil resmi,Vücut etkileri: Vücuttan yüzen enerji parçacıkları.,@Null@,,,
224,Gümüş çan,"Akıllı zihni ve sıkı araştırmasıyla Yinling, vadinin zehirli zambak fenomenini çözdü ve büyülü bir bitki koruma bilgini ve platin zambak koruyucu sembolü oldu. İnsanların kalbindeki vadinin. Şimdi, Hua Youyou ile Arcane Star 'ın büyülü bitkilerinin daha fazla gizemini keşfediyor!",,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,Yürüyüş ayak izleri: Vadi ayak izlerinin platin zambak yürüdüğünüz yerde bırakılır.,,,,
225,Creel,"Baiwei buz ürünlerinin tadına bakın ve dilinizin ucundaki sırları keşfedin. 
 Dahi tat tomurcukları, açıkça büyüye dönüşüyor. 
 Birçok deney mükemmeliyetçiliğe ulaşmıştır.",,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,Vücut Etkileri: Etrafta yüzen limon ve nane yaprakları!,#cda5b0a Dream Building Hediye Kutusunun çıktısıyla sınırlıdır #n,,,
226,Xing Tiansia,"Xingtian Armor avucunun içi ile savaşmakta iyidir, bu yüzden dövüş sanatlarının çoğu avuç içi teknikleridir. Üç zırh arasında, ortalama yeteneklere sahiptir ve hem saldırı hem de savunma yeteneklerine sahiptir. Aynı zamanda zırh devriye takımının kaptanının özel zırhıdır ve zırh takımında önemli bir rol oynar.",,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,Yürüyen ayak izleri: Xingtian toteminin ayak izlerini yürüdüğünüz yerde bırakın.,,,,
227,Rüzgar Kartalı,"Rüzgar kartalı zırhı, ana rengi mavi ve totem olarak kartal olan zırhlı bir savaşçıdır. Sihirbaz ve rüzgar kartalı zırhının ahşap kombinasyonu ile oluşan bir savaşçı. Beş element arasında, beş savaşçı arasında en hızlı olan tahtaya aittir ve hızlı dövüş savaşçısıdır.",,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,Yürüyen ayak izleri: Rüzgar kartalı totem ayak izlerini yürüdüğünüz yerde bırakın.,#cda5b0a sadece #n,,,
228,"Rapunzel, Lola","Yüksek binada ağlamak, ses kulaklarımda, ama kimse umursamıyor 
 Tanrı 'nın sert azarını almak kolaydır ve sert olmak hala kaçınılmazdır 
 Mucize gidene ve melek gidene kadar 
 Yalnız ve çorak bırakılmış, kaç yıl reenkarnasyon olduğunu bilmiyorum",,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,Vücut Etkileri: Yapraklar ve yapraklar vücuttan sürükleniyor!,,,,
