ID,名字,描述,获得方式
27121,Uzun Xiaobao (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27122,Tang San (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27123,Xiao Wu (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27124,Bire bir (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27125,Oscar (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27126,Ma Hongjun (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27127,Kilo (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27128,Dai Mubai (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27129,Zhu Zhuqing (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27130,Ning Rongrong (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27131,Kar Prensesi Miyavfi (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27132,Kabarık Bulutlar Nym (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27133,"Yağmur Ormanlarının Hayaleti, Raccoon Creek (Kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27134,Mei Kewen (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27135,Erobe (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27136,Hayalleri Kovalamak (Kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27137,Kabile Kartal Kaka (Kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27138,Kabile Şefi Nini (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27139,Şef (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27140,Şefin Karısı (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27141,Kaka (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27142,Nini (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27143,İnci (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27144,Kaptan Tom (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27145,Ajan Laura (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27146,Catty Cindy (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27147,Asistan Peter (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27148,Profesör Stephen (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27149,Coolism Lasher (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27150,Pembe Fantezi Tessa (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27151,"Alacakaranlık Gün Batımı, Huanxi (Kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27152,Gudong (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27153,Kremalı Turuncu Heather (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27154,Gölet Kenarı Yaz Hiyama (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27155,Mihe (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27156,Trabzon hurması (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27157,Kelly (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27158,Kar elbisesi (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27159,Zhu Sheng (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27160,"Sky Dragon, Carper (kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27161,"Hayalet Avcısı, Damon (Kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27162,Orion (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27163,Feifei (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27164,"Xichen, Zhu Yin (kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27165,"Alacakaranlık Gecesi, Bambu Yin (Kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27166,Kestane (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27167,"Aşırı Canavar Ajan, Luoze Qing (kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27168,Kırmızı Ayna (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27169,Mary Lou (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27170,Alice (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27171,"Galaxy Streamer, Norrie (sonsuza dek)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27172,"Nebula Flash Dream, Becco (sonsuza dek)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27173,Kar turu (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27174,Bambu patlaması (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27175,"Akuamarin Sarayı 'nın Efendisi, Canorus (sonsuza dek)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27176,"Gümüş Şişenin Efendisi, Elias (Sonsuza dek)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27177,Tang Kexin (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27178,Tang Keyi (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27179,Perou (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27180,Ronnus (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27181,Soundwave (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27182,Mungo (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27183,Xiao Yuaner (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27184,Nonana (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27185,Lingyu (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27186,Rebecca (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27187,Kim (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27188,"Sihirli Asmanın Kutsal Rehberi, Felicia (kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27189,"Keşfedilmemiş Elf, Felicia (Kalıcı)","Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27190,Valena (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27191,Mark (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27192,Irene (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27193,Elton (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27194,Qingyun (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27195,Gri (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27196,Menekşe Fantezi (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27197,Moo moo (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27198,Hua Qiqi (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27199,Temiz su yeşili (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27200,Pasta pastası (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27201,Pirinç fasulyesi (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27202,Mutlu konuk (kalıcı),"Kullanım: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27203,Nipro (kalıcı),"Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27204,Bofill (kalıcı),"Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27205,"Denizin İmparatoru, Lingxi (Kalıcı)","Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27206,"Ağlayan İnci Ölümsüz, Lingxi (Kalıcı)","Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27207,Hein (kalıcı),"Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27208,Halvi (kalıcı),"Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27209,Granee (kalıcı),"Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27210,Büyük Mars (kalıcı),"Kullanın: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27211,Marlene (kalıcı),"Kullanın: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27212,Çarşaf Adam Xiaomi(Kalıcı),"Dış Görünümün kilidini kalıcı olarak açmak için kullanın. Zaten kalıcı olarak açtıysanız, bu sefer bazı mini fasulyeler elde edersiniz.",
27213,Melek (kalıcı),"Dış Görünümün kilidini kalıcı olarak açmak için kullanın. Zaten kalıcı olarak açtıysanız, bu sefer bazı mini fasulyeler elde edersiniz.",
27214,İşaya (kalıcı),"Dış Görünümün kilidini kalıcı olarak açmak için kullanın. Zaten kalıcı olarak açtıysanız, bu sefer bazı mini fasulyeler elde edersiniz.",
27215,Barricade (kalıcı),"Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27216,Kexi Parlayan Kız (Kalıcı),"Kullanın: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27217,Elma Lili Kız (Kalıcı),"Kullanın: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27218,Kar Kalbi Kız (Kalıcı),"Kullanın: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27219,"Prens Akaya, Liansheng (kalıcı)","Kullanın: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27220,"Lingze Boy, Liansheng (kalıcı)","Kullanın: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27221,Shaohua (kalıcı),"Kullanın: Kıyafetin kalıcı olarak kilidini açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27222,Doris(Kalıcı),"Dış Görünümün kilidini kalıcı olarak açmak için kullanın. Zaten kalıcı olarak açtıysanız, bu sefer bazı mini fasulyeler elde edersiniz.",
27223,Dole(kalıcı),"Dış Görünümün kilidini kalıcı olarak açmak için kullanın. Zaten kalıcı olarak açtıysanız, bu sefer bazı mini fasulyeler elde edersiniz.",
27224,Lambert(kalıcı),"Dış Görünümün kilidini kalıcı olarak açmak için kullanın. Zaten kalıcı olarak açtıysanız, bu sefer bazı mini fasulyeler elde edersiniz.",
27225,Martini(kalıcı),"Dış Görünümün kilidini kalıcı olarak açmak için kullanın. Zaten kalıcı olarak açtıysanız, bu sefer bazı mini fasulyeler elde edersiniz.",
27226,Optimus Saint (Kalıcı),"Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27227,Yaz Rüyası (Kalıcı),"Kullanım: Kalıcı olarak cildi aç. Eğer zaten açıldıysa, Mini fasulyeler.",
27228,Yıldızlı Dans (Kalıcı),"Kullanım: Kalıcı olarak cildi aç. Eğer zaten açıldıysa, Mini fasulyeler.",
27229,Tatlı güneş Pañi (kalıcı),"Kullanım: Kalıcı olarak cildi aç. Eğer zaten açıldıysa, Mini fasulyeler.",
27230,Çan Rüya Lorna (Kalıcı),"Kullanım: Kalıcı olarak cildi aç. Eğer zaten açıldıysa, Mini fasulyeler.",
27231,Mavi Ada Kiraz Çayı (kalıcı),"Kullanım: Kalıcı olarak cildi aç. Eğer zaten açıldıysa, Mini fasulyeler.",
27232,Galeri (kalıcı),"Kullanım: Kalıcı olarak cildi aç. Eğer zaten açıldıysa, Mini fasulyeler.",
27233,Tatlı Huzur (Kalıcı),"Kullanım: Kalıcı olarak cildi aç. Eğer zaten açıldıysa, Mini fasulyeler.",
27234,Aiden (kalıcı),"Kullanım: Kalıcı olarak cildi aç. Eğer zaten açıldıysa, Mini fasulyeler.",
27235,Thaenos (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27236,Tresno (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27237,Kanatlı Tilki Yan Rui (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27238,Akçaağaç Tilki Yan Rui (Kalıcı),Bu Görünümün kilidini kalıcı olarak açmak için kullanın. Görünümün kilidi kalıcı olarak açılmışsa biraz Mini Fasulye alırsınız.,
27239,Cynthia (Kalıcı),"Kalıcı kilitleme. Zaten kalıcı olarak kilitlemişseniz, mini paralar.",
27240,Skor (Kalıcı),"Kalıcı kilitleme. Zaten kalıcı olarak kilitlemişseniz, mini paralar.",
27241,Scarlett (kalıcı),"Kalıcı kilitleme. Zaten kalıcı olarak kilitlemişseniz, mini paralar.",
27242,Fiona yazında(Kalıcı),"Kalıcı açma, zaten açıldıysa mini paralar.",
27243,Bonnie(Kalıcı),"Kalıcı açma, zaten açıldıysa mini paralar.",
27244,Kırmızı Şeytan Yami (kalıcı),"Kullanım: Kıyafetin kilidini kalıcı olarak açın. Kıyafet zaten kalıcı olarak açılmışsa, biraz mini fasulye alın.",
27245,Kar Elfi (Kalıcı),"Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27246,Kış Elf (Kalıcı),"Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27247,Parlak Renk (Kalıcı),"Kullan: Kalıcı olarak aç. Eğer zaten açıksa, mini fasulye al.",
27248,Valentin (Kalıcı),Bu Cildi kalıcı olarak açmak için kullanın ve Mini Fasulyeler alın.,
27249,Gobi (Kalıcı),Bu Cildi kalıcı olarak açmak için kullanın ve Mini Fasulyeler alın.,
27250,,,
27251,"Chixiao Zırhı, Hua Mulan (Kalıcı)","Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27252,"Yue Jin Du Dream, Hua Mulan (Kalıcı)","Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27253,Basit buğday (kalıcı),"Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27254,Blaster (kalıcı),"Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27255,Sarah Lina (kalıcı),"Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27256,Canım Kız Bebek (Kalıcı),"Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27257,Çarpıcı Lulu Kızı (Kalıcı),"Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27258,,,
27260,Shanzhu (kalıcı),"Kullanım: Kostümün kalıcı olarak kilidini açın. Kostümün kilidi kalıcı olarak açıldıysa, biraz mini fasulye alın.",
27261,Meow Chef (Kalıcı),"Kullanım: Kostümü kalıcı olarak kilidi açma. Eğer kostüm kalıcı olarak kilidi açılmışsa, bir miktar mini fasulye kazanılır.",
27262,Extreme Beast Agent Nani (Kalıcı),"Kullanım: Kostümü kalıcı olarak kilidi açma. Eğer kostüm kalıcı olarak kilidi açılmışsa, bir miktar mini fasulye kazanılır.",
27263,Sen-Luo (Kalıcı),"Kullanım: Kostümü kalıcı olarak kilidi açma. Eğer kostüm kalıcı olarak kilidi açılmışsa, bir miktar mini fasulye kazanılır.",
27264,Buz ve Kar Prensesi Elena (Kalıcı),"Kullanım: Kostümü kalıcı olarak kilidi açma. Eğer kostüm kalıcı olarak kilidi açılmışsa, bir miktar mini fasulye kazanılır.",
27265,Buz ve Kar Prensesi Evelyn (Kalıcı),"Kullanım: Kostümü kalıcı olarak kilidi açma. Eğer kostüm kalıcı olarak kilidi açılmışsa, bir miktar mini fasulye kazanılır.",
27266,İsis İkiz Balık Efendisi (Kalıcı),Bu cildi kalıcı olarak kilidini açmak için kullanın. Cilt kalıcı olarak açılmışsa biraz Mini Fasulye alacaksınız.,
27267,Lord of Twin Fish Helena (Kalıcı),"Bu Skin'i kalıcı olarak kilidini açmak için kullanın. Skin kalıcı olarak kilidini açılmışsa, bazı Mini Fasulyeler alacaksınız.",
27268,Boş Koruyucu Serina (Kalıcı),"Bu Skin'i kalıcı olarak açmak için kullanın. Eğer Skin kalıcı olarak açıldıysa, bazı Mini Fasulyeler alacaksınız.",
27269,Boşluk Gölge Serina (Kalıcı),"Bu Skin'i kalıcı olarak açmak için kullanın. Skin kalıcı olarak açıldıysa, bazı Mini Beans'ler alacaksınız.",
27270,Seçkin Çiçekler (Kalıcı),"Bu deriyi kalıcı olarak kilidini açmak için kullanın. Eğer deri kalıcı olarak kilidini açılmışsa, bazı Mini Fasulyeler alacaksınız.",
27271,Ejderha Kızı (Kalıcı),"Bu Skin'i kalıcı olarak kilidini açmak için kullanın. Skin kalıcı olarak kilidini açılmışsa, bazı Mini Fasülyeler alacaksınız.",
27272,Koi Kızı (Kalıcı),"Kalıcı olarak bu cildi açmak için kullanın. Eğer cilt kalıcı olarak açılmışsa, bazı Mini Fasulyeler alacaksınız.",
27273,Pleasant Sheep (Kalıcı),"Bu Cildi kalıcı olarak açmak için kullanın. Cilt kalıcı olarak açılmışsa, Mini Fasulyeler alacaksınız.",
27274,Tembel Koyun (Kalıcı),"Bu cildi kalıcı olarak açmak için kullanın. Eğer Skin kalıcı olarak açıldıysa, bazı Mini Fasulyeler alacaksınız.",
27275,Gri Kurt (Kalıcı),"Bu skin'i kalıcı olarak açmak için kullanın. Eğer Skin kalıcı olarak açılmışsa, bazı Mini Beans'leri alacaksınız.",
27276,Berry Sweetheart (Kalıcı),"Bu cildi kalıcı olarak açmak için kullanın. Cilt kalıcı olarak açıldıysa, bazı Mini Beans'ler alacaksınız.",
27277,Angelica (Kalıcı),"Bu cildi kalıcı olarak kilidini açmak için kullanın. Cilt kalıcı olarak kilidini açılmışsa, bazı Mini Fasulyeler alacaksınız.",
27278,Mini - Crimson Warplane (Kalıcı),"Bu Skini kalıcı olarak açmak için kullanın. Eğer Skin kalıcı olarak açılmışsa, bazı Mini Fasülyeler alacaksınız.",
27279,Ejderha Modası (Kalıcı),"Kalıcı olarak bu cildi kilidini açmak için kullanabilirsiniz. Cilt kalıcı olarak kilidi açılmışsa, bazı Mini Fasulyeler alacaksınız.",
27280,Fitter (Kalıcı),"Bu Skin'i kalıcı olarak kilidini açmak için kullanın. Eğer Skin kalıcı olarak kilidini açılmışsa, birkaç Mini Fasulye alacaksınız.",
27281,Eilo (Kalıcı),"Bu Skini kalıcı olarak açmak için kullanın. Eğer Skin kalıcı olarak açılmışsa, Mini Beans kazanacaksınız.",
27282,,,
27283,,,
27284,Turuncu Kız (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
27285,Mürekkep Bambu (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
27286,Kuyruklu yıldız (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
27287,Kızıl Muhafız (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
27288,Cherry Insight (Kalıcı),"Bu Görünümün kilidini kalıcı olarak açmak için bunu kullanın. Görünümün kilidi kalıcı olarak açılmışsa, bir miktar Mini Fasulye alacaksınız.",
