ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
181,Tork Pakar Turki.,"Torque ialah chef misteri Cooking Star. Memiliki kedai ayam belanda yang dibuka hanya apabila hari Thanksgiving menghampiri sepanjang tahun. Dan setiap kali dia muncul, dia pasti akan membawa ayam belanda panggang khasnya.",@Null@,Avatar: Buka kunci avatar.,Jejak kaki: Jejak kaki Turki ditinggalkan di mana sahaja anda berjalan.,#cda5b0aDapat dari Pek Impian sahaja#n,,,
182,Strawberry Jam Berry.,"Berry adalah orang yang paling mengenali strawberi. Dia menikmati setiap aspek strawberi, daripada menanam dan bertunas kepada berbunga dan berbuah, daripada memetik di ladang hingga menghidangkan meja, Berry menikmatinya.",@Null@,Avatar: Buka kunci avatar.,Tapak kaki: Kesan tapak kaki strawberry ditinggalkan di mana sahaja anda berjalan.,#cda5b0aDapat dari Pek Impian sahaja#n,,,
183,Ganesh,"Ganesh menggabungkan kebijaksanaan dan seni untuk memecahkan halangan dan membawa kejayaan dan kebahagiaan. Tidak akan ada takdir yang sempurna dan ideal di dunia. Setiap orang yang ingin mencapai kejayaan, memperoleh ilmu atau kebijaksanaan, mesti berusaha dan berkorban.",@Null@,Avatar: Buka kunci profil gambar,Efek badan: Kelopak bunga lotus bertembangan di atas badan,@Null@,,,
184,EDM Queen Sasha,"Sasha ialah penyanyi paling popular di Terrastar, tetapi popularitinya juga menyebabkan masalah, dan kerjaya muzik Sasha terbantut untuk seketika. Sehingga dia bertemu dengan Mini-Beat secara kebetulan, DJ yang sangat berbakat ini memberi inspirasi kepadanya dan mula bereksperimen dengan ciptaan muzik elektronik, membawa Sasha ke kemuncak kerjayanya semula...",@Null@,Avatar: Buka kunci profile gambar,Efek badan: not warna warni akan bertembangan di atas badan,@Null@,,,
185,Celestial Guardian Yuni,"Di hutan ajaib Fairyland Star, tempat kumpulan terakhir unicorn di Phoenix Domain tinggal. Dalam era apabila sihir semakin berkurangan, unicorn juga menghadapi kepupusan. Sebagai yang termuda dalam kumpulan itu, Yuni menawarkan diri dan memulakan perjalanan bergelombang untuk menggunakan kepakaran hutan ""Mutiara Ajaib"" sebagai pertukaran untuk kuasa ajaib Wizard...",@Null@,Avatar: Buka kunci profile gambar,Jejak kaki: Meninggalkan jejak daun,@Null@,,,
186,Yun Shang,"Dia seorang pereka pakaian dengan kebolehan dan imaginasi tinggi, dan pengembara antara bintang yang memberi perhatian kepada kreativiti dan warisan. Dia berulang-alik di antara pelbagai planet di Wilayah Bintang Naga, mengkaji pelbagai gaya pakaian. Jika anda ingin mencuba gaya berpakaian yang berbeza, cari dia!",@Null@,Avatar: Buka kunci profile gambar,Efek badan: bunga berwana merah cair berterbangan atas badan,@Null@,,,
187,Xiang Er,"Xiang Er ialah duta musim sejuk Cooking Star, dan dia bekerja siang malam untuk menganjurkan festival musim sejuk. Dari Solstis Musim Sejuk hingga Hari Tahun Baru, dia sentiasa sibuk, dan sebelum dia sedar, tahun baharu tiba lagi!",@Null@,Avatar: Buka kunci profile gambar,Tapak kaki: Tapak kaki kambing tertinggal ketika berjalan,@Null@,,,
188,Ting Huai,"Bakat ajaib kanak-kanak yang dinantikan, mendapat inspirasi apabila dia hampir mendapat pekerjaan impiannya, dan memulakan jalan sebagai seorang ulama yang mengembara tanpa alas kaki. Selepas membantu murid Stargate secara kebetulan, dia dapat memasuki Fairyland dan memulakan perjalanan versi fantasi ""Peach Blossom Spring""...",@Null@,Avatar: Buka kunci profile gambar,Kesan badan: Daun Bambu berterbangan atas badan,@Null@,,,
189,Penari Lion Dragonet,@Null@,@Null@,Avatar: Buka kunci profile gambar,Tapak Kaki: Tinggal tapak hydrangea ketika berjalan,@Null@,,,
190,Honeycomb,"Tiada hujan madu turun dari langit! Ini adalah mantera Honeycomb. Sebagai ahli baru di bandar, ketekunannya telah menarik perhatian semua orang. Setiap Isnin pada pukul sembilan pagi, sentiasa ada sebotol madu segar di depan pintu rumah semua orang. Semua orang mengatakan bahawa ini adalah madu terbaik yang pernah mereka makan.",Dapat dari Gashapon,Avatar: Buka kunci avatar.,Tapak Kaki: Tinggal tapak madu ketika berjalan,#cda5b0aDapat dari Pek Impian sahaja#n,,,
191,Deity Shen,"Seorang penguasa dunia luar yang sangat kacak, seperti orang yang diasingkan abadi. Pandai dalam ilusi, dia sering berubah menjadi kren untuk melarikan diri dari dunia. Nampaknya ada identiti misteri yang tidak diketahui oleh orang luar yang sangat rapat dengan Moon Fairy, dan paling takut dia marah.",Didapatkan dari Gashapon,Avatar: Buka kunci profile gambar,Kesan badan: Ada aura biru berterapung,@Null@,,,
192,Yun Yan,"Anak perempuan bongsu klan Fox, dan Cang Hong, dongeng pedang nebula, adalah kawan jangka panjang. Dipengaruhi oleh Cang Hong, dia tidak suka sihir dan teknologi, dan suka bermain-main dengan semua jenis alat mekanikal, yang menjadikannya kelihatan seperti orang luar dalam klan. Walau bagaimanapun, Yun Yan tidak peduli, orang lain tidak tahu tentang teknologi dan betapa menakjubkannya ia!",@Null@,Avatar: Buka kunci avatar.,Kesan badan: Hati merah jambu mengelilingi badan!,#cda5b0aDapat dari Pek Impian sahaja#n,,,
193,Cang Hong,"""Pedang Abadi"" yang paling misteri, selain nama Cang Hong yang beredar di arena, tiada siapa yang tahu umur, asal usul dan tempat tinggalnya. Dikatakan bahawa pedangnya adalah pedang abadi. Apabila diayun, badan pedang bersinar dengan cahaya abadi, yang boleh memotong segala-galanya. Tetapi apa yang kurang diketahui ialah pedang ini sebenarnya berasal dari bintang Gomanda...",@Null@,Avatar: Buka kunci avatar.,Kesan badan: Cahaya ajaib mengelilingi badan!,#cda5b0aDapat dari Pek Impian sahaja#n,,,
194,Katrina,"Berapa lama awak ambil masa untuk melupakan orang yang pernah awak sayang?
Dia, menghabiskan 500 tahun menjelma sebagai utusan kegelapan, menunggu kedatangannya di jurang yang tidak terkira  siang dan malam. Dalam setiap malam yang sunyi, dia berubah menjadi penari mayat hidup, hanya untuk melihatnya buat kali terakhir.",@Null@,Avatar: Buka kunci profile gambar,Kesan badan: Rama-rama berterbangan!,@Null@,,,
195,Spider Girl,"Saya suka meletakkan diri saya di mata lembu, kerana detik seterusnya, pemburu yang bijak tidak boleh ke mana-mana.
Tiada harapan untuk melarikan diri, lebih baik melepaskan tentangan. Lagipun, impian paling manis di dunia ialah jaring yang saya tenun.",@Null@,Avatar: Buka kunci profile gambar,Jejak Kaki Berjalan: Tinggalkan kesan labah-labah semasa berjalan.,@Null@,,,
196,Miranda,Kurniakan saya kebijaksanaan dan kekuatan. Matahari merah menyala menyuburkan semua perkara. Saya yang bergelar dewi matahari dengan ikhlas mendoakan agar cahaya kehidupan tidak pernah padam.,@Null@,Kesan Badan: Boleh menukar dalam permainan dan menukar borang,Avatar:Buka kunci gambar profil,Jejak kaki: Tinggalkan jejak kaki totem maharaja di mana sahaja anda berjalan.,#cda5b0aConvert: Click the button on the right to switch the form #n,,
197,Maharaja Hero,Perisai terkuat di alam semesta yang tidak terhingga ialah maharaja. Dia berada di atas raja. Binatang berperisai yang satu dan yang pertama.,@Null@,Kesan Badan: Boleh menukar dalam permainan dan menukar borang,Avatar:Buka kunci gambar profil,Jejak kaki: Tinggalkan jejak kaki totem maharaja di mana sahaja anda berjalan.,#cda5b0aConvert: Click the button on the right to switch the form #n,,
198,Hu Xinyu,"""Seorang ahli seni mempertahankan diri yang menumbuk, dan mengumpul harta karun yang berkilauan!
Kesemuanya adalah kegemaran saya daripada jongkong besar dan syiling tembaga hinggalah kepada kaca cangkerang kecil.
Tunjukkan ketulusan anda kepada saya dan saya akan berkongsi cahaya saya!""",@Null@,Avatar:Buka kunci gambar profil,Jejak kaki: Jejak dompet ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
199,Hu Xiaofeng,"Angin menerjah udara. Darah menggegarkan hati. Cabar diri sendiri. Jangan takut! Cabar diri sendiri! Cangkuk jari anda, beribu-ribu gerakan, mari pergi!",@Null@,Avatar:Buka kunci gambar profil,Jejak kaki: Jejak kaki harimau ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
200,Evelyn,"Menyeberangi sungai, berjalan melalui gunung, mendengar burung bernyanyi, menghidu haruman bunga liar. Jika rama-rama tersesat ke dalam menjaring saya, jangan takut! Saya akan membebaskan awak.",@Null@,Avatar:Buka kunci gambar profil,Kesan badan: Rama-rama merah jambu terapung di badan.,@Null@,,,
201,Tyrinn,"Kebenaran tersembunyi di dalam hutan, dan misteri di dalam bukit. Kononnya ilmu saya bergantung kepada otak yang cerdas, tetapi siapa tahu hikmah itu hanya bersinar kerana amalan!",@Null@,Avatar:Buka kunci gambar profil,Kesan badan: Rama-rama oren terapung di badan.,@Null@,,,
202,Fros,"Rambut kembang seperti awan, mata berkilauan seperti permata, penyepit rambut cerah seperti rama-rama. Anda manis seperti gula-gula kapas! Mari, manjakan saya dengan kegembiraan di lautan awan yang cerah dan lembut ini.",@Null@,Avatar: Buka kunci avatar.,Kesan badan: Marshmallow mengelilingi badan!,#cda5b0aDapat dari Pek Impian sahaja#n,,,
203,Peri Bunga Rama-rama,@Null@,@Null@,Avatar:Buka kunci gambar profil,Kesan badan: Rama-rama ungu terapung di badan.,@Null@,,,
204,Wira Api,"“Elemen kelima iaitu api mempunyai kemampuan dan potensi yang paling tinggi.
Satu-satunya perisai yang membolehkan dua orang memanggil pada masa yang sama. Ia adalah perisai dengan penggunaan keupayaan paling perlahan.""",@Null@,Avatar:Buka kunci gambar profil,Jejak kaki: Kesan tapak kaki Flame Hero ditinggalkan di mana-mana anda berjalan.,@Null@,,,
205,Ratu Karnival,"Pakaian tarian bertatahkan berlian dan labuci yang tidak terhitung banyaknya bersinar dengan emas di bawah sinar matahari yang terang; ratu karnival itu bersemangat tinggi, menyanyi dan menari mengikut muzik tarian. Kedua-dua penari dan penonton melupakan semua masalah mereka dalam nyanyian dan tarian karnival.",@Null@,Avatar: Buka kunci profile gambar,Jejak Kaki: Meninggalkan jejak anda akan pelangi berjalan berwarna-warni Ribon,@Null@,,,
206,Bambu Dwen,"Hitam dan putih adalah padanan yang sempurna, tetapi saya menyukai warna anda seperti buluh hijau! Jangan salah faham, saya takkan makan awak~",@Null@,Avatar: Buka kunci profile gambar,@Null@,@Null@,,,
207,Wira Besbol,"Di padang besbol, 'batter' dan 'pitcher' kedua-duanya menakjubkan. Dikenali sebagai ""pisau tajam terkuat dalam sejarah"".",@Null@,Avatar: Buka kunci gambar profil,Jejak Kaki: Meninggalkan jejak anda akan pelangi berjalan bestol.,@Null@,,,
208,mota,"“Berenang bebas di dalam laut.
Saya adalah risalah di lautan. Saya adalah perenang yang paling pantas di langit.
Cari saya dan anda akan temui kebenaran.""",@Null@,Avatar: Buka kunci avatar.,Kesan badan: Buih jatuh dari badan.,#cda5b0aDapat dari Pek Impian sahaja#n,,,
209,Bunga Api,"Gula-gula epal yukata ikan mas, mi goreng lonceng angin harum,
Perayaan musim bunga semakin hampir, dan bunyi bunga api akan kedengaran sepanjang hari dan malam.
Lihat, ia adalah bunga api! Buat satu hasrat dengan saya!",@Null@,"Avatar: Buka kunci Avatar ",Kesan badan: Bunga merah jambu terapung di badan!,@Null@,,,
210,Kilat,"Menujukkan sihir dan hasrat menjadi kenyataan. ",@Null@,"Avatar: Buka kunci Avatar "," Jejak kaki: Jejak kaki berbentuk bintang pecah enam",@Null@,,,
211,Beacon,"Gendang perang berbunyi, Dimana musuhku?
Api suar berada di langit, menjaga tanah air tanpa takut mati dan cedera.
Kemarahan bertukar menjadi niat melawan, iman kekal di hati saya, dan naga yang beredar akan datang lagi!",Buka kunci item boleh diperolehi melalui acara,Avatar: Membuka kunci avatar.,Kesan Badan:Bebola Api Melayang,@Null@,,,
212,Dreamy Poet,"Doa semua, saya pinjam bintang untuk menjawab! """,@Null@,"Avatar: Buka kunci Avatar ",Kesan badan: bunga merah jambu terapung di badan!,@Null@,,,
213,Kapten bola sepak,"Budak lelaki yang pernah bermain berkaki ayam di jalanan kini telah berkembang menjadi helang yang tidak dapat dihalang di padang hijau, menggelecek bola, sentiasa mengatasi, dan merembat kencang, mencipta mitos berkali-kali, membawa pasukannya menang sekali.",@Null@,"Avatar: Buka kunci Avatar ",@Null@,@Null@,,,
214,Shirley,"Beribu-ribu tahun angin dan salji meniup hati yang tidak sejuk dan hangat.
Snowman sebagai peneman juga sejenis nasib.
Dan hasrat saya adalah agar salji dan ais tidak mencair, dan kawan-kawan saya boleh pulang ke rumah.",@Null@,"Avatar: Buka kunci Avatar ",Jejak kaki: Tinggalkan jejak emping salji di mana sahaja anda berjalan.,@Null@,,,
215,Budi,"“Budi tinggal di Asia Tenggara yang cantik, dan fesyen adalah sinonim.
Perkara yang paling digemari ialah menunggang motosikal bersama rakan-rakan di sepanjang pesisir pantai sambil angin laut bertiup sepanjang perjalanan. """,@Null@,"Avatar: Buka kunci Avatar ",@Null@,@Null@,,,
216,Dewi,"Pada masa lapang, Dewi menari tarian anggun yang diajar neneknya semasa kecil, sentiasa membawa fikirannya kembali ke zaman kanak-kanak yang jauh: matahari, bayu laut, dan bau segar daun pokok palma...",@Null@,"Avatar: Buka kunci Avatar ",@Null@,@Null@,,,
217,Shadowbringer,"Seorang penari yang pantas, tepat, anggun tersembunyi dalam bayang-bayang, kelincahannya dan tudung hijau gelap adalah ciri khasnya.
Orang tidak tahu namanya, mereka hanya tahu bahawa di bawah bayang-bayang bintang dan bulan, akan ada wanita misteri yang menghukum kejahatan...",@Null@,"Avatar: Buka kunci Avatar ",@Null@,@Null@,,,
218,Puteri Teratai,"Rekaan Puteri Teratai dari juara dalam Pertandingan Rekaan Fesyen Miniworld Vietnam. Skirt Lolita dan jaket pengebom menggabungkan kecomelan, ketampanan dan estetika tradisional Vietnam dengan unsur moden.  Dari dulu hingga sekarang, teratai adalah tanda kegadisan dan ingin bertemu dengan anda.",@Null@,Avatar: Buka kunci avatar.,Kesan Badan: Bunga Teratai yang melayang!,@Null@,,,
219,Bulan Mimpi Ngeri,"Konfliknya dengan kakaknya menjadikannya puteri bulan mimpi ngeri. Selepas beberapa tenaga harmoni mempengaruhinya, dia memilih untuk kembali ke sisi kakaknya. Dia sangat lembut dan takut kesepian. Dia rapat dengan rakyat kerajaannya.",@Null@,"Avatar: Buka kunci Avatar ",Kesan badan: Cahaya bintang terapung dari badan.,@Null@,,,
220,Glicita,"Dinding sudut mendedahkan jejak saya, dan grafiti menyimpan banyak kenangan. Jangan ragukan seni saya, kerana selain bakat ada juga kasih sayang untuk diberikan.",@Null@,"Avatar: Buka kunci Avatar ",Jejak kaki: Tinggalkan jejak grafiti di mana sahaja anda berjalan.,@Null@,,,
221,Lico,"Dari dulu hingga sekarang, grafiti adalah kegemaran saya. Biasa meluahkan dalam karya, monolog batin. Dari sekarang hingga masa depan, grafiti adalah cinta saya. Sembur sesuka hati, memang genius seni jalanan.",@Null@,"Avatar: Buka kunci Avatar ",Jejak kaki: Tinggalkan jejak grafiti di mana sahaja anda berjalan.,@Null@,,,
222,Nini Terjaga,Bulu helang melintasi langit. Tongkat itu mengelilingi wilayah itu. Ia adalah penghormatan saya untuk menjaga keselamatan suku saya!,@Null@,"Avatar: Buka kunci Avatar ",Kesan badan: Zarah tenaga terapung dari badan.,@Null@,,,
223,Kaka Terjaga,"Tanpa api, lilin terpadam. Bolehkah cita-cita kekal selepas semua kepayahan? Anak muda selalu berjalan sendirian!",@Null@,"Avatar: Buka kunci Avatar ",Kesan badan: Zarah tenaga terapung dari badan.,@Null@,,,
224,Loceng Perak,"Dengan minda yang bijak dan penyelidikan yang mendalam, Loceng Perak menyelesaikan fenomena lily beracun di lembah supaya dia menjadi sarjana pemuliharaan tumbuhan ajaib dan simbol pengawal lily platinum dalam fikiran orang ramai. Sekarang dia dan Peri Bunga sedang menerokai misteri tumbuhan ajaib di planet Orpha!",,"Avatar: Buka kunci Avatar ",Jejak berjalan: Tinggalkan jejak Platinum Platinuma.,,,,
225,Corell,"Rasa produk ais Baiwei dan teroka rahsia di hujung lidah anda.
Citarasa genius, mengubah biasa menjadi keajaiban.
Eksperimen yang tidak kira lebih membawa kepada perfeksionisme.",,Avatar: Buka kunci avatar.,Kesan badan: Daun lemon dan pudina mengelilingi badan!,#cda5b0aDapat dari Pek Impian sahaja#n,,,
226,,,,,,,,,
227,,,,,,,,,
228,"Puteri Rambut Panjang
Lola","Tangisan kedengaran kesedihan tetapi tiada siapa yang menyedari kesyukuran kepada Tuhan, keajaiban dan malaikat walaupun ia mudah diperoleh. Tinggalkan hutan belantara dalam tempoh penjelmaan semula yang tidak berkesudahan.",,"Avatar: Buka kunci Avatar ",Kesan Badan: Kelopak dan daun bertaburan pada badan!,,,,
229,Mega,"Mega ialah seorang pembuat mecha senjata yang hebat dari masa dan ruang yang misteri. Seluruh badan dengan instrumen berteknologi tinggi: kot yang khas kebal terhadap peluru dan senjata, teks bercahaya yang padat pada kanta cermin mata, peralatan pelik di belakang mengandungi tenaga yang kuat. Anda juga boleh menggunakan sebagai meriam apabila diperlukan atau menghayun untuk mengalahkan orang jahat!",,Avatar: Buka kunci avatar.,Kesan badan: Kilat mekanikal melayang pada badan!,,,,
230,Qimeng Linghu·Huayang,"Mimpi tidak dapat dilupakan, tiba-tiba merosakkan masa depan. Memain rentetan untuk melepaskan kerisauan, ramai orang bersurai akhirnya, mereka tidak pernah bertemu sejak itu.",,"Perubahan khas: Merealisasikan fungsi perubahan warna dalam permainan, berubah bentuk dan
keadaan!","Bingkai avatar dan kesan badan: Bingkai avatar khas,  bunga Camelia merah muda mengelilingi badan!","#cda5b0aPerubahan warna: Klik butang perubahan warna kiri untuk menukar Linghu kepada
keadaan nakal dan naif.#n","#cda5b0aPerubahan warna: Klik butang perubahan warna kiri untuk menukar Linghu kepada
keadaan glamor dan cantik#n",#cda5b0aDapat dari Pek Bintang sahaja#n,
231,Qimeng Linghu·Huayang,"Ingat bunga mekar di seluruh gunung, melagukan kemakmuran. Burung-burung itu tinggal di sebelah, waktu ketawa dan bermain, seperti cahaya musim bunga mekar.",,"Perubahan khas: Merealisasikan fungsi perubahan warna dalam permainan, berubah bentuk
dan keadaan!","Bingkai avatar dan kesan badan: Bingkai avatar khas, bunga Camellia merah muda mengelilingi badan!","#cda5b0aPerubahan warna: Klik butang perubahan warna kiri untuk menukar Linghu kepada
keadaan nakal dan naif. #n","#cda5b0aPerubahan warna: Klik butang perubahan warna kiri untuk menukar Linghu kepada
keadaan glamor dan cantik#n",#cda5b0aDapat dari Pek Bintang sahaja#n,
232,Qimeng Linghu·Huayang,"Beribu-ribu kaki jauhi, Sakura menemui darah dan menjana semula. Mencari cahaya musim bunga untuk menerobosan langit, bermimpi kembali ke darat hijau, mencerminkan wajah cantik.",,"Perubahan khas: Merealisasikan fungsi perubahan warna dalam permainan, berubah bentuk dan
keadaan!","Bingkai avatar dan kesan badan: Bingkai avatar khas, bunga Camellia merah gelap mengelilingi badan!","#cda5b0a Perubahan warna: Klik butang perubahan warna kiri untuk menukar Linghu kepada
keadaan lembut dan kuat. #n","#cda5b0a Perubahan warna: Klik butang perubahan warna kiri untuk menukar Linghu kepada
keadaan nakal dan naif. #n",#cda5b0aDapat dari Pek Bintang sahaja#n,
233,Gadis Matahari Berkilau,"Dia pernah menjadi pelajar Puteri Kosmik. Walaupun dia pernah melakukan kesilapan, dia telah mengambil tindakan pembetulan. Dia berkawan dengan musuh dan melupakan kemusnahan. Dia mewakili keempatian dalam keharmonian.",,Avatar: Buka kunci avatar,Kesan Khas Badan: Lingkaran cahaya melayang pada badan!,,,,
234,Gadis Trixie,"Trixie ialah ahli silap mata dan pengembara dengan mengetahui teknik silap mata, mempersembahkan helah kepada kuda poni di seluruh Equestria. Tanda kecomelan ialah Kayu Sihir Bintang-Bulan yang bermaksud ""helah"", dia boleh mempelajari apa-apa jenis sihir.",,Avatar: Buka kunci avatar,Kesan Khas Badan: Sihir melayang pada badan!,,,,
235,Armor Boy,"Armor Boy ialah abang kepada Senja, dia berkahwin dengan Princess Cadence. Dia sangat tenang dan bertanggungjawab, kini mengurus Empayar Kristal bersama Princess Cadence. Tanda kecomelan ialah perisai dan bintang yang bertaburan dengan sihir yang kuat.",,Avatar: Buka kunci avatar,Kesan Badan: Bintang bersinar bertaburan di badan!,,,,
236,Lumil,"Rasa ais krim berkrim, nikmati tanglung bersinar.
Naik karusel, mengetawa dan menjerit bersama. 
Jalinan cahaya dan elektrik, mewakili kegembiraan semasa",,Avatar: Buka kunci avatar,Kesan Khas Badan: Bintang melayang pada badan!,,,,
237,Lucia,"Bau popcorn, main dan kejar bersama.
Naik roda Ferris dan tangkap matahari!
Dari hati ke hati, tidak takut pada matahari terik!",,Avatar: Buka kunci avatar,Kesan badan: Bintang mengelilingi  badan!,,,,
238,Thumbelina Tina,"Badan kecil, keberanian besar. 
Menangkap tikus tanah, burung dan ikan berenang serta mengejar kambing. 
Lihatlah saya berjalan di seluruh hutan dan menggunakan rahsia penyembuhan!",,Avatar: Buka kunci avatar,Kesan badan: Tenaga penyembuhan mengelilingi badan!,#cda5b0aDapat dari Pek Impian sahaja#n,,,
239,Anak Naga,"Senyuman lebar adalah senjata khas anak naga,
Ladu susu lembut boleh menghilangkan masalah dengan satu klik.
Jadi maskot bukan sesuka hati.
Pertama, mesti mempunyai puting... Hei, anda tidak dapat menjadi saya walaupun merampas barang saya!",,Avatar: Buka kunci avatar,Kesan badan: Bintik cahaya emas mengelilingi badan!,,,,
240,Tang San,"Tiada Pertahanan Jiwa Bela yang tidak berguna, hanya Tuan Jiwa yang tidak berguna!",,Avatar: Buka kunci avatar,"Jejak Kaki: Jejak kaki berbentuk kilat ",#cda5b0aGerakan khas pakaian berkaitan Benua Douluo: Tunjukkan Pertahanan Jiwa!#n,,,
241,Xiaowu,"Helo, nama saya Xiaowu, bermaksud tarian.",,Avatar: Buka kunci avatar,Kesan badan: kelopak merah jambu melayang pada badan!,#cda5b0aGerakan khas pakaian berkaitan Benua Douluo: Tunjukkan Pertahanan Jiwa!#n,,,
242,Bibi Dong,"Bagi orang yang kuat, jika anda tidak dapat mengalahkannya, sebaiknya dia tidur selama-lamanya.",,Avatar: Buka kunci avatar,Kesan badan: Bulu melayang pada badan!,#cda5b0aGerakan khas pakaian berkaitan Benua Douluo: Tunjukkan Pertahanan Jiwa!#n,,,
243,Oscar,"Genius telah diberi penghormatan sejak lahir, saya hanya menghabiskan seluruh hidup saya untuk mendekati cahaya itu.",,Avatar: Buka kunci avatar,"Jejak Kaki: Jejak kaki berbentuk sosej ",#cda5b0aGerakan khas pakaian berkaitan Benua Douluo: Lepaskan Kemahiran Jiwa!#n,#cda5b0a Hanya tersedia Gashapon sahaja#n,,
244,Ma Hongjun,Pernahkah anda dengar phoenix emas berada di sarang rumput?,Pembukaan kunci alat boleh dapat dari acara,Avatar: Buka kunci avatar,Jejak kaki: Jejak kaki berbentuk api,#cda5b0aGerakan khas pakaian berkaitan Benua Douluo: Tunjukkan Pertahanan Jiwa!#n,,,
245,Qiluo,"Rambut musim bunga yang indah, batang teratai ditanam pada musim sejuk, menantikan kepulangan burung walet. 
Langit ke bumi, musim sejuk ke musim bunga, 
Adakah anda ingin menyertai pengalaman ini?",,Avatar: Buka kunci avatar,Kesan badan: Bunga wisteria melayang pada badan!,,,,
246,"Dai Mubai ",Saya mahu menjadi lebih kuat untuk melindungi anda dan semua orang.,,Avatar: Buka kunci avatar,Kesan badan: Kilat dipancarkan dari badan!,#cda5b0a Gerakan khas pakaian berkaitan Benua Douluo: Tunjukkan Pertahanan Jiwa!#n,,,
247,Zhu Zhuqing,"Saya tidak mahu kehidupan yang diatur oleh orang lain, saya mahu melepaskan diri, jadi saya wajib menjadi lebih kuat.",,Avatar: Buka kunci avatar,Kesan badan: Bintik unggu melayang pada badan!,#cda5b0a Gerakan khas pakaian berkaitan Benua Douluo: Tunjukkan Pertahanan Jiwa!#n,,,
248,Ning Rongrong,"Masa lalu tidak boleh diubah, walaupun saya menghabiskan seluruh hidup saya. Saya akan menghidupkan semula sinar cahaya itu!",,Avatar: Buka kunci avatar,Kesan badan: Bintik ungu melayang pada badan!,#cda5b0aGerakan khas pakaian berkaitan Benua Douluo: Tunjukkan Pertahanan Jiwa!#n,,,
249,@Null@,@Null@,@Null@,,,,,,
250,@Null@,,,,,,,,
251,Pari-pari Merak Biru Huanxi,"Dengar suara hati sendiri, melepaskan keterikatan kepada kesempurnaan, 
 Jadilah tumpuan orang ramai, juga menjadi pari-pari di dalam hutan hujan. 
 Di bawah skrin ekor, pada masa ini, saya dilahirkan semula.",,"Perubahan pencahayaan: Berubah berdasarkan pencahayaan dalam persekitaran peta, klik butang kiri untuk membaca arahan.","Perubahan: Bertukar menjadi Pari-pari Mekar Merah Jambu apabila percahayaan dalam persekitaran lebih besar daripada 9, klik butang kiri untuk pratonton.",Aksi khas: Terdapat pelbagai aksi khas dalam peta. Klik butang kiri untuk pratonton aksi yang berkaitan.,#cda5b0aDapat dari Pek Bintang sahaja#n,,
252,Mei Keqian,"Gadis steampunk yang percaya pada teknologi mengubah kehidupan suka mencipta dan mencipta. Hari bekerja meriah dan comel, tetapi dia mempunyai kesungguhan dan dedikasi mutlak terhadap sains. Impian terbesar adalah untuk mencipta sayap mekanikal yang boleh membuat manusia terbang bebas.",,Avatar: Buka kunci avatar,Kesan badan: Terdapat bintik-bintik cahaya ungu terapung pada badan!,,,,
253,"Erobe ","Dia sangat ketat dan serius, mempercayai teori dan hasil praktikal yang boleh dikawal. Selepas pengiraan dan eksperimen, Erobe percaya bahawa mekanikal penerbangan untuk mencapai penerbangan, mencemuh idea Mei Keqian yang tidak wujub.",,Avatar: Buka kunci avatar,Kesan badan: Gear melayang pada badan!,,,,
254,Kejar Impian,"Mandi di langit, bercakap dengan bintang.
Cari tamadun yang hebat, terokai misteri alam semesta.
Ada yang bertanya, apakah kesudahan dunia?
Saya rasa, langit bintang adalah keajaiban penciptaan.",,Avatar: Buka kunci avatar,Kesan badan: Tenaga kosmik melayang pada badan!,,,,
255,Helang Suku Kaka,"Bulu helang menghempas langit, dan tongkat kerajaan mengelilingi wilayah itu. 
 Ia adalah satu penghormatan dan misi untuk melindungi keselamatan suku saya!",@Null@,Avatar: Buka kunci avatar.,Kesan badan: Terdapat pendarfluor hijau pada badan!,@Null@,@Null@,@Null@,@Null@
256,Ketua Suku Nini,"Lilin itu padam tanpa api, dan lilin itu hilang.
 Selepas semua kepayahan, cita-cita masih wujud?
 Walaupun angin bertiup, pemuda itu berjalan sendirian!",,Avatar: Buka kunci avatar,Kesan badan: Cahaya bintang mengelilingi badan!,,,,
269,Pari-pari Merak Merah Jambu Huanxi,"Warna salji yang tidak terbatas ditemui pada musim panas, bunga api yang melompat pada musim sejuk. 
 Saya mendengar semua orang berdebar-debar dan tidak takut dengan ejekan.
 Di sebalik senja, saya menari dengan matahari terbenam.",,"Perubahan pencahayaan: Berubah berdasarkan pencahayaan dalam persekitaran peta, klik butang kiri untuk membaca arahan.","Perubahan: Bertukar menjadi Pari-pari Mekar Biru apabila percahayaan dalam persekitaran kurang daripada atau sama dengan 9, klik butang kiri untuk pratonton.",Aksi khas: Terdapat pelbagai aksi khas dalam peta. Klik butang kiri untuk pratonton aksi yang berkaitan.,#cda5b0aDapat dari Pek Bintang sahaja#n,,
270,Gudong,"Tungku tanah liat merah harum, membawa segala jenis bunga api di dunia.
 Sembuhkan badan dan minda dengan ramuan dan hiburkan dengan asap.
 Rasa indah yang tidak dapat dihalang membuat orang berteriak:
 Sangat segar, sangat pedas, bos wanita menambah sayur-sayuran!",,Membuka Kunci Avatar.,Kesan badan: bahan terapung!,,,,
