ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
187,Xiang Er.,"Xiang ER è l'ambasciatore invernale della stella della stella, e lavora giorno e notte per organizzare il festival invernale. Dal solstizio d'inverno al giorno di Capodanno, è sempre occupata, e prima che la realizzasse, il nuovo anno era di nuovo qui!",@Null@,Avatar: immagine del profilo di sblocco,Impronte: le impronte di agnello sono lasciate ovunque tu cammini.,@Null@,,,
188,Ting huai.,"Un talento prodigio bambino molto atteso, è diventato illuminato quando stava per atterrare il lavoro dei suoi sogni e intraprendere la strada come uno studioso a piedi nudi errante. Dopo aver aiutato i discepoli di Stargate per caso, è stato in grado di entrare nelle Fairyland e ha iniziato il viaggio della versione fantasy di ""Peach Blossom Spring"" ...",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: foglie di bambù galleggianti sul corpo!,@Null@,,,
189,Dancer del leone Dragonet.,@Null@,@Null@,Avatar: immagine del profilo di sblocco,Impronte: lasciare impronte di ortensia dove cammini.,@Null@,,,
190,Favo,"Non c'è miele che piove dal cielo! Questo è il mantra di nido d'ape. Come un nuovo membro della città, la sua diligenza ha impressionato tutti. Ogni lunedì alle nove del mattino, c'è sempre un barattolo di miele fresco sulla porta di tutti. Tutti dicono che questo è il miglior miele che hanno mai mangiato.",Ottenuto in Gashapon,Avatar: immagine del profilo di sblocco,Impronte: lascia impronte di miele ovunque tu cammini.,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
191,Divinità Shen.,"Un maestro dei mondi esterni che è estremamente bello, come un immortale esiliato. Bene alle illusioni, spesso si trasforma in una gru per sfuggire al mondo. Sembra che ci sia un'identità misteriosa sconosciuta agli estranei che è molto vicino alla fata della luna, e più ha paura di essere arrabbiata.",Ottenuto in Gashapon,Avatar: immagine del profilo di sblocco,Effetti del corpo: c'è aura blu che galleggia in giro!,@Null@,,,
192,Yun Yan,"La figlia più giovane del clan di Fox, e Cang Hong, la nebulosa spada fata, è un amico a lungo termine. Influenzato da Cang Hong, a lei non piace la magia e la tecnologia, e gli piace giocherellare con tutti i tipi di gadget meccanici, il che la fa sembrare un outlier nel clan. Tuttavia, Yun Yan non importa, altre persone non conoscono la tecnologia e quanto è incredibile!",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: i cuori rosa stanno fluttuando in giro!,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
193,Cang Hong.,"La massima misteriosa ""spada immortale"", oltre al nome Cang Hong circolante nell'arena, nessuno conosce la sua età, origine e residenza. Si dice che la sua spada sia una spada immortale. Quando girato, il corpo della spada brilla di luce immortale, che può tagliare tutto. Ma ciò che è poco noto è che questa spada arrivò in realtà dalla stella di Gomanda ...",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: il corpo brilla con la luce fata!,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
194,Caterina,"Quanto tempo ti ci è voluto per dimenticare la persona che hai amato una volta?
Lei, ha trascorso 500 anni incarnato come un messaggero dell'oscurità, aspettando il suo arrivo in innumerevoli abissi giorno e notte. In ogni notte solitaria, si trasformò in un ballerino non morto, solo per vederlo un'ultima volta.",@Null@,Avatar: immagine del profilo di sblocco,Effetti sul corpo: le farfalle stanno fluttuando!,@Null@,,,
195,Ragazza ragno,"Mi piace mettermi nell'occhio del toro, perché il prossimo secondo, un cacciatore intelligente non può andare da nessuna parte.
Non c'è speranza di fuga, è meglio rinunciare alla resistenza. Dopotutto, il sogno più dolce del mondo è il web che tessere.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia impronte di ragno ovunque cammini.,@Null@,,,
196,Miranda,"Dammi saggezza e forza. Il sole rosso fuoco nutre tutte le cose. Io, che sono chiamata la dea del sole, prego sinceramente che la luce della vita non si spenga mai.",@Null@,Effetti del corpo: può convertire nel gioco e cambiare il modulo,Avatar: sblocca l'immagine del profilo,Effetti sul corpo: il sole splende sul corpo!,#cda5b0aDeformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma normale / gloriosa! #n,,
197,Eroe imperatore,L'armatura più forte nell'universo infinito è l'imperatore. È al di sopra del re. L'unica e la prima bestia corazzata.,@Null@,Effetti del corpo: può convertire nel gioco e cambiare il modulo,Avatar: sblocca l'immagine del profilo,Impronte: lascia le impronte dei totem dell'imperatore ovunque cammini.,#cda5b0aTrasforma: fai clic sul pulsante Trasforma a sinistra per passare alla forma normale / definitiva! #n,,
198,Hu Xinyu,"Un maestro di arti marziali che prende a pugni e colleziona tesori scintillanti!
Sono tutti i miei preferiti dai grandi lingotti e monete di rame al piccolo vetro a conchiglia.
Mostrami la tua sincerità e condividerò il mio splendore!",@Null@,Avatar: sblocca l'immagine del profilo,Impronte: le impronte della borsa vengono lasciate ovunque tu cammini.,@Null@,,,
199,Hu Xiaofeng,"Il vento trafiggeva l'aria. Il sangue agitava il cuore. Mettiti alla prova. Non aver paura! Mettiti alla prova! Unisci le dita, migliaia di mosse, andiamo!",@Null@,Avatar: sblocca l'immagine del profilo,Impronte: le impronte della tigre vengono lasciate ovunque tu cammini.,@Null@,,,
200,Evelyn,"Attraversare il ruscello, camminare tra le montagne, ascoltare il cinguettio degli uccelli, annusare il profumo dei fiori di campo. Se una farfalla mi entra in tasca, non aver paura! ti renderò libero.",@Null@,Avatar: sblocca l'immagine del profilo,Effetti sul corpo: Farfalle rosa che galleggiano sul corpo.,@Null@,,,
201,Tyrinn,"La verità è nascosta nella giungla. Il mistero si nasconde dietro le colline. Le conoscenze provengono dal cervello intelligente, ma la saggezza risplende attraverso la pratica!",@Null@,Avatar: sblocca l'immagine del profilo,Effetti sul corpo: Farfalle arancioni che galleggiano sul corpo.,@Null@,,,
202,Brina,"Capelli vaporosi come nuvole, occhi scintillanti simili a gioielli, forcine luminose simili a farfalle. Sei dolce come zucchero filato! Vieni, abbandonati con me alla gioia in questo mare di nuvole leggere e morbide.",@Null@,Avatar: sblocca l'immagine del profilo,Effetti sul corpo: Marshmallow che galleggiano sul corpo.,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
203,Fata dei fiori di farfalla,@Null@,@Null@,Avatar: sblocca l'immagine del profilo,Effetti sul corpo: farfalle viola che galleggiano sul corpo.,@Null@,,,
204,Eroe della fiamma,"Il quinto elemento, il fuoco, ha più capacità e potenziale.
L'unica armatura che consente a due persone di evocare contemporaneamente. È l'armatura con il consumo di abilità più lento.",@Null@,Avatar: sblocca l'immagine del profilo,Impronte: le impronte di Flame Hero vengono lasciate ovunque tu cammini.,@Null@,,,
205,La regina del carnevale,"Gli abiti da ballo intarsiati con innumerevoli diamanti e paillettes brillavano con oro nel sole splendente; La regina del Carnevale era in alto spirito, cantando e ballando alla musica da ballo. Sia i ballerini che gli spettatori dimenticano tutti i loro problemi nel canto e nel danza del Carnevale.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lasciare impronte colorate del nastro ovunque tu cammini.,@Null@,,,
206,Bambù Dwen,"Il bianco e il nero sono gli abbinamenti perfetti. Mi piaci tu e il tuo bambù verde! Non fraintendermi, non ti mangerò~",@Null@,Avatar: immagine del profilo di sblocco,@Null@,@Null@,,,
207,Eroe del baseball,"""Sul campo da baseball, la"" pastella ""e il"" lanciatore ""sono entrambi incredibili.
Noto come ""il più forte flusso del doppio coltello nella storia"". """,@Null@,Avatar: immagine del profilo di sblocco,Impronte: lasciare impronte di baseball ovunque tu cammini.,@Null@,,,
208,Mota,"Nuotare liberamente attraverso le profondità del mare.
Sono il volantino nell'oceano. Sono il nuotatore più veloce del cielo.
Trovami e troverai la verità.",@Null@,Avatar: immagine del profilo di sblocco,Effetti sul corpo: bolle che cadono dal corpo.,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
209,Fiore di fuoco,"La festa di primavera si avvicina e il suono dei fuochi d'artificio suonerà tutto il giorno e la notte.
Guarda, sono fuochi d'artificio! Esprimi un desiderio con me!",@Null@,Avatar: immagine del profilo di sblocco,Effetti sul corpo: fiori rosa che fluttuano dal corpo.,@Null@,,,
210,Veloce,"Esegui trucchi di magia e realizza il tuo desiderio. Stella, per favore continua a brillare. Ascolta i nostri desideri!",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia impronte di stelle ovunque cammini.,@Null@,,,
211,Faro,"I tamburi di guerra infuriano. Dov'è il mio nemico? I fuochi dei fari sono nel cielo, a guardia della patria senza paura di morte e lesioni. La rabbia si trasforma in intento combattivo. La fede è sempre nel mio cuore e alla fine il drago che vola in cerchio tornerà!",Lo sblocco degli articoli può essere acquisito in evento,Avatar: immagine del profilo di sblocco,Effetti sul corpo: scintille che fluttuano dal corpo.,@Null@,,,
212,Poeta sognante,"Wu puoi cavalcare e brandire le spade. Wen può dipingere e recitare poesie.
È semplicemente invincibile!",@Null@,Avatar: immagine del profilo di sblocco,Effetti sul corpo: fiori rosa che fluttuano dal corpo.,@Null@,,,
213,Capitano di calcio,"Il ragazzo che una volta giocava a piedi nudi per strada è ora diventato un'aquila inarrestabile sul campo verde, dribblando la palla, superando costantemente e tirando forte. Creando la storia, portando la sua squadra a vincere ancora una volta.",@Null@,Avatar: immagine del profilo di sblocco,@Null@,@Null@,,,
214,Shirley,Migliaia di anni di vento e neve soffiano su un cuore che non è freddo e caldo. È una fortuna avere un pupazzo di neve come compagno. Voglio solo che la neve non si sciolga.,@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia impronte di fiocchi di neve ovunque cammini.,@Null@,,,
215,Budi,"Budi vive nel bellissimo sud-est asiatico. La moda è sinonimo di lui.
Il suo preferito è guidare una moto lungo la costa e godersi la brezza marina con i suoi amici.",@Null@,Avatar: immagine del profilo di sblocco,@Null@,@Null@,,,
216,Dea,"Dewi balla ciò che sua nonna le ha insegnato quando era bambina. Ballare riporta alla memoria la sua vecchia memoria sul sole, la brezza marina e il fresco profumo delle foglie di palma.",@Null@,Avatar: immagine del profilo di sblocco,@Null@,@Null@,,,
217,Portatore d'ombra,Un ballerino veloce e preciso nascosto nell'ombra. La sua agilità e il cappuccio verde scuro sono i suoi tratti distintivi. La gente non conosce il suo nome. Sanno solo che all'ombra delle stelle e della luna ci sarà una donna misteriosa che punirà i malvagi.,@Null@,Avatar: immagine del profilo di sblocco,@Null@,@Null@,,,
218,Principessa Loto,"Il design della Principessa Loto proviene dal MiniWorld Vietnam Design. Le gonne Lolita e le giacche corte combinano carine e belle, combinate con estetica tradizionale vietnamita e elementi moderni. Attraversando Ancient and Modern, passo dopo passo, abbraccia Jin Sui, solo per incontrarti.",@Null@,Avatar: immagine del profilo di sblocco,Effetti speciali fisici: Lotus è sparso sul corpo!,@Null@,,,
219,Luna degli incubi,"I suoi conflitti con sua sorella l'hanno resa la principessa della luna da incubo. Dopo che un'energia armoniosa l'ha influenzata, ha scelto di tornare dalla parte di sua sorella. È molto gentile e ha paura di sentirsi sola. È vicina al popolo del suo regno.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: Starlight che fluttua dal corpo.,@Null@,,,
220,Glicita,L'angolo di una strada mostra le mie tracce. I graffiti registrano i miei ricordi. C'è amore che viene trasmesso dietro ogni mia arte.,@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia impronte di graffiti ovunque cammini.,@Null@,,,
221,Lico,"I graffiti erano la mia passione. Ho espresso il mio sentimento attraverso i miei lavori. I graffiti sono il mio amore. Spruzzalo, è street art.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia impronte di graffiti ovunque cammini.,@Null@,,,
222,Nini risvegliato,La piuma d'aquila squarciò il cielo. Lo scettro circondò il territorio. È mio onore proteggere la sicurezza della mia tribù!,@Null@,Avatar: immagine del profilo di sblocco,Effetti sul corpo: particelle di energia che galleggiano dal corpo.,@Null@,,,
223,Kakà risvegliato,"Senza fuoco, una candela si spegne. Può un'ambizione rimanere dopo tutte le difficoltà? Il giovane cammina sempre da solo!",@Null@,Avatar: immagine del profilo di sblocco,Effetti sul corpo: particelle di energia che galleggiano dal corpo.,@Null@,,,
224,Campana d'argento,"Con la sua mente intelligente e la sua dura ricerca, Yinling ha risolto il fenomeno del mughetto velenoso, ed è diventata una studiosa di conservazione delle piante magiche e il simbolo custode del giglio di platino della valle nel cuore della gente. Ora, sta esplorando altri misteri delle piante magiche della Stella Arcana con Hua Youyou!",,Foto del profilo: sblocca la foto del profilo.,Impronte a piedi: Le impronte del mughetto di platino sono lasciate dove cammini.,,,,
225,Creel,"Assaggia i prodotti di ghiaccio Baiwei ed esplora i segreti sulla punta della lingua. 
 Le papille gustative geniali, che trasformano la pianura in magia. 
 Numerosi esperimenti hanno raggiunto il perfezionismo.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: foglie di limone e menta che galleggiano in giro!,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
226,Xing Tianxia,"Xingtian Armor è bravo a combattere con il palmo della mano, quindi la maggior parte dei suoi trucchi di arti marziali sono tecniche di palmo. Tra le tre armature, ha abilità medie e ha sia abilità offensive che difensive. È anche l'armatura speciale del capitano della squadra di pattuglia armatura e gioca un ruolo chiave nella squadra armatura.",,Foto del profilo: sblocca la foto del profilo.,Impronte di camminata: Lascia le impronte del totem Xingtian dove cammini.,,,,
227,aquila del vento,"L'armatura dell'aquila del vento è un guerriero corazzato con il blu come colore principale e l'aquila come totem. Un guerriero formato dalla combinazione dell'evocatore e dell'armatura dell'aquila del vento di legno. Tra i cinque elementi, appartiene al legno, il più veloce tra i cinque guerrieri, ed è un guerriero veloce.",,Foto del profilo: sblocca la foto del profilo.,Impronte a piedi: lascia le impronte del totem dell'aquila del vento dove cammini.,#cda5b0a solo per #n,,,
228,"Raperonzolo, Lola","Il pianto sull'alto edificio, il suono è nelle mie orecchie, ma a nessuno importa 
 Il duro rimprovero di Dio è facile da ottenere, ed è ancora inevitabile essere duri 
 Finché il miracolo non è sparito e l'angelo se ne va 
 Rimasto solo e sterile, non so quanti anni di reincarnazione",,Foto del profilo: sblocca la foto del profilo.,Effetti sul Corpo: Petali e foglie alla deriva dal corpo!,,,,
229,Meijia,"Mei Jia, un produttore di armi e mecha cool da un tempo e uno spazio misterioso, è pieno di strumenti di precisione high-tech: il tessuto della giacca è speciale e sembra essere invulnerabile , parole densamente illuminate lampeggiano di tanto in tanto sulle lenti degli occhiali, e si dice che lo strano dispositivo dietro di esso contenga una potente energia. Può anche essere usato come cannone in caso di necessità, o... si è alzato per battere via i cattivi!",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: flash meccanici sul corpo!,,,,
230,Qimeng Linghu - Huayang,"Incubi indimenticabili coprono il sole, l impermanenza spezza la giovinezza. Tocca le corde del pianoforte per inviare melodie e pensieri, la pioggia cade e la gente alla fine si disperde, e da allora non ci siamo più visti.",,"Cambiamenti speciali: il gioco può realizzare la funzione di cambiare i colori, cambiare la forma e lo stato!",Cornice Avatar ed Effetti Corpo: Cornice Avatar Esclusiva con camelie rosse chiare che fluttuano in giro!,#cda5b0a cambio colore: fai clic sul pulsante sinistro del cambio colore per passare la volpe allo stato naive cattivo. #n,"#cda5b0a cambio colore: fai clic sul pulsante sinistro del cambio colore, puoi passare la volpe allo stato splendido e glamour. #n",#cda5b0a limitato all'uscita della confezione regalo Xinghui #n,
231,Qimeng Linghu - Huayang,"Ricordo che i fiori sbocciano su tutte le montagne, e la canzone è piena di prosperità. Sono passati gli anni vicino alla casa del torii, quando c'erano risate e rumore, e la luce primaverile fioriva nello yen.",,"Cambiamenti speciali: il gioco può realizzare la funzione di cambiare i colori, cambiare la forma e lo stato!",Cornice Avatar ed Effetti Corpo: Cornice Avatar Esclusiva con grandi camelie rosse che galleggiano in giro!,#cda5b0a cambio colore: fai clic sul pulsante sinistro del cambio colore per passare la volpe a uno stato dolce e forte. #n,"#cda5b0a cambio colore: fai clic sul pulsante sinistro del cambio colore, puoi passare la volpe allo stato splendido e glamour. #n",#cda5b0a limitato all'uscita della confezione regalo Xinghui #n,
232,Qimeng Linghu - Huayang,"Portando mille piedi nel mondo, i fiori di ciliegio stanno cadendo e il sangue si rigenera. Cercando il bagliore primaverile per sfondare le nuvole e la nebbia, sognando di tornare sul bordo delle onde verdi, la cintura verde riflette il volto giovane.",,"Cambiamenti speciali: il gioco può realizzare la funzione di cambiare i colori, cambiare la forma e lo stato!",Cornice Avatar ed Effetti Corpo: Cornice Avatar Esclusiva con camelie rosso scuro che fluttuano in giro!,#cda5b0a cambio colore: fai clic sul pulsante sinistro del cambio colore per passare la volpe a uno stato dolce e forte. #n,#cda5b0a cambio colore: fai clic sul pulsante sinistro del cambio colore per passare la volpe allo stato naive cattivo. #n,#cda5b0a limitato all'uscita della confezione regalo Xinghui #n,
233,Afterglow ragazza,"Una volta era una studentessa della Principessa dell'Universo. Anche se ha fatto una deviazione, alla fine si è riformata, ha messo da parte i suoi vecchi rancori e ha fatto amicizia con i suoi ex avversari. Rappresenta l'empatia nello Yuan dell'Armonia.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: apertura Afterglow che galleggia intorno al corpo!,,,,
234,Trixie ragazza,"Trixie è una maga itinerante che padroneggia tutti i tipi di magia scenica ed esegue una magia meravigliosa per i pony di tutto il paese. Il suo bel simbolo è la bacchetta magica a stella e luna, che significa ""trucco"", così può imparare qualsiasi magia.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul Corpo: L energia magica attraversa il tuo corpo!,,,,
235,Shining Armatura Ragazzo,"Shining Armor è il fratello maggiore di Twilight. Si è sposato con la principessa Yin Yun. È calmo e responsabile. Ora governa l'Impero di Cristallo con la Principessa Yin Yun. I suoi adorabili simboli sono scudi e stelle sparse, e il suo potere magico è potente.",,Foto del profilo: sblocca la foto del profilo.,Body Effects: stelle scintillanti che escono dal tuo corpo!,,,,
236,Lumir,"Assaggia il gelato alla crema e guarda le luci brillare. 
 Cavalcare una giostra, ridere e urlare insieme. 
 Intreccio fotoelettrico, che riflette la gioia del tempo in questo momento!",,Foto del profilo: sblocca la foto del profilo.,Body Effects: Le stelle stanno fluttuando!,,,,
237,Lucia,"Annusare i popcorn e inseguire e giocare insieme. 
 Sali sulla ruota panoramica e prenderai il sole! 
 Cuore a cuore, senza paura del caldo torrido e del sole di fronte a te!",,Foto del profilo: sblocca la foto del profilo.,Body Effects: Le stelle stanno fluttuando!,,,,
238,Pollicina Piccola,"Piccolo corpo, grande coraggio. 
 Cattura le marmotte e gli uccelli, guarda i pesci e insegue le capre. 
 Guardami camminare attraverso la foresta ed eseguire i segreti della guarigione!",,Foto del profilo: sblocca la foto del profilo.,Effetti sul Corpo: L'energia curativa si muove attraverso il corpo!,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
239,Lungo Xiaobao,"Un grande sorriso è l'arma caratteristica di Xiaobao. 
 I morbidi gnocchi al latte eliminano i problemi con un clic. 
 Le mascotte non sono qualcosa che puoi essere se vuoi essere. 
 Prima di tutto, non puoi avere meno ciucci... Ehi, non puoi fare il ciuccio se mi derubi!",,Foto del profilo: sblocca la foto del profilo.,Body Effects: puntini dorati di luce che svolazzano sul corpo!,,,,
240,Tang San,"Non ci sono spiriti di scarto, solo maestri di spiriti di scarto!",,Foto del profilo: sblocca la foto del profilo.,Impronte a piedi: Le impronte di fulmini vengono lasciate dove cammini.,#cda5b0a Douluo Continent linkage vestire azione esclusiva: mostrare lo spirito marziale! #n,,,
241,Piccola danza,"Ciao, il mio nome è Xiao Wu, la danza della danza.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: petali rosa che galleggiano in giro!,#cda5b0a Douluo Continent linkage vestire azione esclusiva: mostrare lo spirito marziale! #n,,,
242,Confronta uno a est,"Per un uomo forte, se non puoi farlo arrendere, è meglio lasciarlo dormire per sempre.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul Corpo: Piume galleggiano intorno!,#cda5b0a Douluo Continent linkage vestire azione esclusiva: mostrare lo spirito marziale! #n,,,
243,Oscar,"Al vero genio è data la gloria suprema dalla nascita, e io passo la mia vita ad avvicinarmi a quella luce.",,Foto del profilo: sblocca la foto del profilo.,Impronte di camminata: Lascia impronte di salsiccia dove cammini.,#cda5b0a Douluo Continent Linkage Dress Up Azione Esclusiva: Libera l'abilità dell'anima! #n,#cda5b0a solo per #n,,
244,Ma Hongjun,Non hai sentito che ci sono fenici dorate nel nido d'erba?,Gli oggetti sbloccati possono essere ottenuti attraverso l'evento,Foto del profilo: sblocca la foto del profilo.,Impronte a piedi: lascia impronte di fuoco dove cammini.,#cda5b0a Douluo Continent linkage vestire azione esclusiva: mostrare lo spirito marziale! #n,,,
245,Kiro,"I capelli primaverili pendono meravigliosamente tra le nuvole e gli alberi, e in inverno, le rose sono sepolte e i rami aspettano con ansia il ritorno delle rondini. 
 Il cielo va in terra, l'inverno va in primavera, 
 Vuoi partecipare a questa esperienza umana?",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: Fiori di glicine che galleggiano in giro!,,,,
246,Dai Mubai,"Voglio diventare più forte, abbastanza forte da proteggerti e proteggere più persone.",@Null@,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: il fulmine sarà emesso dal corpo!,#cda5b0a Douluo Continent linkage vestire azione esclusiva: mostrare lo spirito marziale! #n,,,
247,Zhu Zhuqing,"Non voglio vivere la vita organizzata dagli altri, voglio liberarmi, quindi devo diventare più forte.",@Null@,Foto del profilo: sblocca la foto del profilo.,Effetti speciali per il corpo: le macchie di luce viola sono sparse sul corpo!,#cda5b0a Douluo Continent linkage vestire azione esclusiva: mostrare lo spirito marziale! #n,,,
248,Ning Rongrong,"Il passato non può essere cambiato, anche se passo tutta la mia vita, farò rivivere quella luce!",@Null@,Foto del profilo: sblocca la foto del profilo.,Body Effects: puntini blu di luce si diffondono sul corpo!,#cda5b0a Douluo Continent linkage vestire azione esclusiva: mostrare lo spirito marziale! #n,,,
249,La versione è troppo bassa,,,,,,,,
250,La versione è troppo bassa,,,,,,,,
251,"Il fantasma della foresta pluviale, Huanxi","Ascolta la voce dal profondo del tuo cuore, lascia andare il tuo attaccamento alla perfezione, 
 Sii il centro della folla e il fantasma nelle profondità della foresta pluviale. 
 Sotto lo schermo posteriore, in questo momento, sono rinato dalle ceneri.",,"Cambiamenti di illuminazione: Forma con l'illuminazione ambientale nella mappa, fare clic sul pulsante a sinistra per visualizzare le istruzioni.","Fantasma: quando la luce ambientale è maggiore di 9, si trasformerà in un tramonto crepuscolare, clicca sul pulsante a sinistra per vedere l'anteprima.","Azioni esclusive: ci sono più azioni esclusive nella mappa, fai clic sul pulsante a sinistra per visualizzare in anteprima le relative azioni.",Cornice Avatar: Sblocca automaticamente il Cornice Avatar dinamico una volta ottenuto.,,
252,McCormick,"Una ragazza steampunk che crede nella tecnologia per cambiare la vita e ama inventare. Vivace e adorabile nei giorni feriali, ma ha assoluta serietà e dedizione alla scienza. Il sogno più grande è quello di creare ali meccaniche che possano permettere agli esseri umani di volare liberamente.",@Null@,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: macchie dorate di luce si diffondono sul corpo!,@Null@,,,
253,Eric White,"Il carattere rigoroso e serio gli fa credere solo alla teoria rigorosa e ai risultati pratici controllabili. Dopo molti calcoli ed esperimenti, Erubai crede fermamente che l'aereo sia un mezzo efficace per raggiungere il volo, e si fa beffe dell'idea selvaggia di Mei Kewen.",@Null@,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: gli ingranaggi galleggiano in giro!,@Null@,,,
254,Sogno,"Fai un bagno nel cielo e parla con le stelle. 
 Esplora migliaia di civiltà ed esplora i misteri dell'universo. 
 Qualcuno ha chiesto: qual è la fine del mondo? 
 Penso che il cielo stellato sia il miracolo della creazione.",@Null@,Foto del profilo: Sblocca la foto del profilo.,Effetti sul Corpo: L'energia cosmica si diffonde dal corpo!,@Null@,@Null@,@Null@,@Null@
255,Kaka aquila tribale,"La piuma d'aquila colpì il cielo e lo scettro girò intorno al territorio. 
 Proteggere la sicurezza della tribù è la mia missione d'onore!",@Null@,Foto del profilo: Sblocca la foto del profilo.,Effetti sul Corpo: La fluorescenza verde si diffonde dal corpo!,@Null@,@Null@,@Null@,@Null@
256,Capo tribale Nini,"La candela si spegne senza fuoco e la cera è sparita. 
 Tutti i tipi di difficoltà, l'ambizione esiste ancora? 
 Anche se soffia il vento, il ragazzo cammina da solo!",@Null@,Foto del profilo: Sblocca la foto del profilo.,Effetti sul corpo: Ci sono stelle che galleggiano sul corpo!,@Null@,@Null@,@Null@,@Null@
257,La versione è troppo bassa,,,,,,,,
258,La versione è troppo bassa,,,,,,,,
259,La versione è troppo bassa,,,,,,,,
260,La versione è troppo bassa,,,,,,,,
261,La versione è troppo bassa,,,,,,,,
262,La versione è troppo bassa,,,,,,,,
263,La versione è troppo bassa,,,,,,,,
264,La versione è troppo bassa,,,,,,,,
265,La versione è troppo bassa,,,,,,,,
266,La versione è troppo bassa,,,,,,,,
267,La versione è troppo bassa,,,,,,,,
268,La versione è troppo bassa,,,,,,,,
269,La versione è troppo bassa,"In estate, la neve sconfinata viene cercata, e nel solstizio d'inverno, Suoji salta con i fuochi d'artificio. 
 Ho sentito gli applausi fragorosi di migliaia di persone, e non ho avuto paura di fischiare e sogghignare per un po '. 
 Dietro il crepuscolo, sono io, che ballo con il tramonto.",,"Cambiamenti di illuminazione: Forma con l'illuminazione ambientale nella mappa, fare clic sul pulsante a sinistra per visualizzare le istruzioni.","Phantom: Trasforma nel Phantom of the Rainforest quando la luce ambientale è inferiore o uguale a 9, fai clic sul pulsante a sinistra per visualizzare l'anteprima.","Azioni esclusive: ci sono più azioni esclusive nella mappa, fai clic sul pulsante a sinistra per visualizzare in anteprima le relative azioni.",Cornice Avatar: Sblocca automaticamente il Cornice Avatar dinamico una volta ottenuto.,,
270,Gudong,"La stufa di fango rosso si arriccia con fragranza, portando tutti i tipi di fuochi d'artificio del mondo. 
 Usa ingredienti per guarire il corpo e la mente e lenire le emozioni con il fumo. 
 Il gusto meraviglioso che non può essere fermato fa gridare: 
 Così fresco, così piccante, la signora capo aggiunge delle verdure!",@Null@,Foto del profilo: Sblocca la foto del profilo.,Effetti speciali per il corpo: ci sono ingredienti che galleggiano sul corpo!,@Null@,@Null@,@Null@,@Null@
271,"Crema Dolce Arancione, Heather",,,,,,,,
272,"Stagno in piena estate, boccioli dipinti",,,,,,,,
273,Mihe,"L'alito leggermente aspro stimola la punta delle papille gustative, 
 La polpa verde genera granuli dolci. 
 Mi chiedete se è aspro? È dolce? 
 Penso che siano i cambiamenti nella natura.",,Foto del profilo: sblocca la foto del profilo.,Body Effects: Kiwi che fluttua in giro!,,,,
274,Cachi Azusa,"Il vento d'autunno arrotola le foglie d'oro, 
 La fragranza si insinuava nella punta del naso dei pedoni. 
 Ogni volta che si verifica questa situazione, 
 È la stagione in cui i cachi maturano.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: le foglie di cachi galleggiano intorno al corpo!,,,,
275,Kelly,,,,,,,,
276,Vestito da neve,"Il filo bianco vola, la gonna fiorisce, 
 La cortina di batteri che volano nella foresta, la sporulazione sparsa, 
 È tutto il gusto della felicità.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: fiori bianchi e piume alla deriva!,,,,
277,Sheng di bambù,"Le bugie sono tormentate, le illusioni pervadono, 
 Il sorriso sotto la tenda bianca, le coccole intime, 
 E 'un po' reale e un po 'mascherato.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: fiori bianchi e piume alla deriva!,,,,
