ID,名字,描述,追踪
1324,ไทเทเนียม II,หลอม#L#cfa7a0fไทเทเนียม x100#n@1,หลอม#cfa7a0fไทเทเนียม
1325,ไทเทเนียม III,หลอม#L#cfa7a0fไทเทเนียม x300#n@1,หลอม#cfa7a0fไทเทเนียม
1326,แร่รูนโจมตี,ใช้อีเตอร์ทองแดงทำลายแร่รูนโจมตีเพื่อรับ#L#cfa7a0fหินรูนโจมตี#n@1,เก็บ#cfa7a0fแร่รูนโจมตี
1327,แร่รูนป้องกัน,ใช้อีเตอร์ทองแดงทำลายแร่รูนป้องกันเพื่อรับ#L#cfa7a0fหินรูนป้องกัน#n@1,เก็บ#cfa7a0fแร่รูนป้องกัน
1328,แร่รูนประสิทธิภาพ,ใช้อีเตอร์ทองแดงทำลายแร่รูนประสิทธิภาพเพื่อรับ#L#cfa7a0fหินรูนประสิทธิภาพ#n@1,เก็บ#cfa7a0fแร่รูนประสิทธิภาพ
1329,ขุนนางล่ามังกร,อัญเชิญและกำจัดมังกรลาวา@1,กำจัด #cfa7a0fมังกรลาวา
1330,วีรบุรุษล่ามังกร,อัญเชิญและกำจัดมังกรดำอลวน@1,กำจัด #cfa7a0fมังกรดำอลวน
1331,หอกหินโบราณ,ใช้วัตถุดิบหินและกิ่งไม้เพื่อคราฟต์#L#cfa7a0fหอกหิน#n@1,คราฟต์#cfa7a0fหอกหิน
1332,ปรมาจารย์ช่างคราฟต์,ถือผลึกการสร้างเพื่ออัปเกรดโต๊ะคราฟต์ที่ไม่สมบูรณ์เป็น#L#cfa7a0fโต๊ะคราฟต์ที่สมบูรณ์#n@1,อัปเกรด#cfa7a0fโต๊ะคราฟต์ที่สมบูรณ์
1333,ผู้เชี่ยวชาญด้านก่อสร้าง,ใช้วัตถุดิบไม้คราฟต์เป็นแผ่นไม้ แล้ววางแผ่นไม้ลงบนพื้น@1,คราฟต์และวาง#cfa7a0fแผ่นไม้
1334,หนังสติ๊ก,ใช้หนังอ่อน กิ่งไม้และเส้นด้ายเพื่อคราฟต์#L#cfa7a0fหนังสติ๊ก#n@1,คราฟต์#cfa7a0fหนังสติ๊ก
1335,ผจญภัยในป่าฝน!,ค้นหาป่าฝนและรวบรวมต้นไม้ป่าฝนเรืองแสง เพื่อรับ#L#cfa7a0fชิ้นส่วนหลักป่าดงดิบ#n@1,ได้รับ #cfa7a0fชิ้นส่วนหลักป่าดงดิบ
1336,ตาแห่งป่าดงดิบ,ใช้ทองแดงและชิ้นส่วนแกนป่าดงดิบเพื่อคราฟต์#L#cfa7a0fตาแห่งป่าดงดิบ#n@1,คราฟต์#cfa7a0fตาแห่งป่าดงดิบ
1337,เทพเจ้างูขนนก,กำจัดบอสเทพเจ้างูขนนกในวัด@1#r (ใช้ตาแห่งป่าดงดิบกับรูปปั้นเทพเจ้าที่ไม่สมบูรณ์เพื่อเรียกวัดป่าดงดิบ บอสเทพเจ้างูขนนกจะอยู่ในส่วนลึกสุดของวัด),กำจัดบอส#cfa7a0fเทพเจ้างูขนนก
1338,เมล็ดพันธุ์ศักดิ์สิทธิ์,กำจัดบอสงูขนนกในวัดเพื่อรับ #L#cfa7a0f เมล็ดพันธุ์ศักดิ์สิทธิ์ #n@1,ได้รับ #cfa7a0fเมล็ดพันธุ์ศักดิ์สิทธิ์
1339,หินคืนชีพ,คราฟต์ด้วยหินบนโต๊ะคราฟต์แล้ววาง#L#cfa7a0fรูปปั้นหิน#n@1,วาง#cfa7a0fรูปปั้นหิน
1340,@Null@,@Null@,@Null@
1341,@Null@,@Null@,@Null@
1342,เมล็ดข้าวโพด,ใช้ข้าวโพดเพื่อคราฟต์#L#cfa7a0fเมล็ดข้าวโพด#n@1,คราฟต์#cfa7a0fเมล็ดข้าวโพด
