ID,名称,描述,说明
3210007,Получить значение указанного ранга в таблице лидеров,"Получите значение%2 в%1 как%4 и выполните%3, чтобы передать полученное значение событию","1. В таблице лидеров разрешено брать только положительные целые числа, порядок возрастания от малого к большому, а порядок убывания от большого к маленькому
2. Все параметры этого события передаются выполняемому [событию], например [триггерному игроку], [целевому игроку в событии], [существу, которое запустило событие] и т.д.
3. Xx, которые можно получить через сервер / таблицу лидеров, получают четыре значения имени, игрока, значения и рейтинга."
3210008,Получить значение указанного игрока в таблице лидеров,Получить значение%2 в%1 и выполнить%3 для передачи полученного значения событию,"1. Все параметры этого события передаются выполняемому [событию], например [триггерному игроку], [целевому игроку в событии], [существу, которое запустило событие] и т.д.
2. Xx, которые можно получить через сервер / таблицу лидеров, получают четыре значения имени, игрока, значения и рейтинга."
3210009,Получить значение указанного имени в таблице лидеров,Получить значение%2 в%1 и выполнить%3 для передачи полученного значения событию,"1. Все параметры этого события передаются выполняемому [событию], например [триггерному игроку], [целевому игроку в событии], [существу, которое запустило событие] и т.д.
2. Xx, которые можно получить через сервер / таблицу лидеров, получают четыре значения имени, игрока, значения и рейтинга."
3210010,Установите любое значение в таблице с указанным именем,Установить имя%1 в значение%2%3,"1. Используйте английские точки. Индекс можно разделить, что влияет на использование скриптов. Используйте только события, чтобы игнорировать это"
3210011,Удалить значение с указанным именем в таблице,Удалить значение%2 в%1,
3210012,Получает значение указанного имени в таблице,Получить значение%2 в%1 и выполнить%3 для передачи полученного значения событию,
3210013,Чистый стол,Очистить%1,"Невозможно восстановить после удаления, используйте с осторожностью"
3210014,Очистить таблицу лидеров,Очистить%1,"Невозможно восстановить после удаления, используйте с осторожностью"
3210015,Сообщить данные игрока,Сообщить%1 данные с именем события%2,"Используя разные названия событий комбинации, вы можете настраивать и сообщать различные поведенческие данные игроков. После отчетности вы можете просматривать различные данные игроков на фоне центра создателей"
3220001,Показать всплывающее окно оценки проигрывателю,Показывать всплывающее окно оценки для%1,"① Игрок может активировать его только после игры в течение определенного периода времени (в настоящее время через 3 минуты после входа на карту)
② Он будет воспроизводиться только один раз в 10 минут, и игрок оценил, что карта не сработает
③ Повторно введите карту или конвертируйте отредактированную карту, чтобы снова всплывать, что удобно для тестирования"
3220002,Показывать избранные всплывающие окна игрокам,Показывать избранное для%1,"① Игрок может активировать его только после игры в течение определенного периода времени (в настоящее время через 3 минуты после входа на карту)
② Он будет воспроизводиться только один раз в 10 минут, и игрок оценил, что карта не сработает
③ Повторно введите карту или конвертируйте отредактированную карту, чтобы снова всплывать, что удобно для тестирования"
3220003,Display follow-the-author pop-up to players,Display %2 pop-up to %1,
40001,Атрибутика команды,Атрибут%2 для%1,
40003,Место проведения мероприятия,Место проведения мероприятия,
40004,Точка рождения,Точка рождения,
40005,Анимированные выражения в событиях,Анимированные выражения в событиях,
40006,Государственные эффекты в событиях,Государственные эффекты в событиях,
40007,,,
40008,Последний созданный тип эффекта,Последний созданный тип эффекта,
40009,Тип блока в случае,Тип блока в случае,
40010,Последний созданный тип блока,Последний созданный тип блока,
40011,Shortcut Bar в событиях,Shortcut Bar в событиях,
40012,Оборудование бара на мероприятии,Оборудование бара на мероприятии,
40013,Компоненты в случае,Компоненты в случае,
40014,Интерфейс в случае,Интерфейс в случае,
40015,Струна в событии,Струна в событии,
40016,Редактируемый интерфейс,Редактируемый интерфейс,
40017,Музыка на мероприятии,Музыка на мероприятии,
40018,"Объект, выполняющий действие","Объект, выполняющий действие",
40019,Рецепт в случае,Рецепт в случае,
40020,Выплавка в случае,Выплавка в случае,
40021,Сюжет мероприятия,Сюжет мероприятия,
40022,Площадь на мероприятии,Площадь на мероприятии,
40023,Величина ущерба в случае,Величина ущерба в случае,
5000001,повторить казнь,Повторить выполнение #n%1,
5000002,Повторить несколько раз,Повторите%1 #n%1,
5000003,Повторяйте до,Повторять выполнение до%1 #n%1,
5000004,Выход из цикла,Выход из цикла,
5000005,Если... просто,"Если%1, #n%1",
5000006,Если... иначе,"Если%1, #n%1 #n иначе #n%1",
5000007,"Продолжайте ждать, пока",Продолжайте ждать%1,
5000008,Стоп.,Остановить%1,
50001,Расположение игрока,Расположение%1,
50002,Положение перекрестия игрока,Положение прицела для%1,
50003,Атрибуты игрока,Атрибут%2 для%1,
50004,Количество предметов для игрока,"Количество%2s, принадлежащих%1",
50006,"Угол, ориентированный на игрока",%1 ориентированный угол,
50007,Имя игрока,Имя%1,
50012,домовладелец,домовладелец,
50018,Команда игрока,%1 команда,
50019,Личная переменная игрока (регион),%2 из%1 (регион),
50020,Личная переменная игрока (местоположение),%2 из%1 (местоположение),
50021,Личная переменная игрока (value),%2 из%1 (значение),
50022,Личная переменная игрока (строка),%2 из%1 (строка),
50023,Личная переменная игрока (boolean),%2 из%1 (логическое значение),
50024,Личная переменная игрока (player),%2 из%1 (игрок),
50025,Личная переменная игрока (группа игроков),%2 из%1 (группа игроков),
50026,Личная переменная игрока (тип блока),%2 из%1 (тип блока),
50027,Личная переменная игрока (тип элемента),%2 из%1 (тип элемента),
50028,Личная переменная игрока (существо),%2 из%1 (bio),
50029,Личная переменная игрока (тип существа),%2 из%1 (тип существа),
50030,Личная переменная игрока (группа существ),%2 из%1 (биогруппа),
50031,Личная переменная игрока (таймер),%2 из%1 (таймер),
50032,Личная переменная игрока (тип эффекта),%2 из%1 (тип эффекта),
50033,"Направление, которое указывает цель игрока",Направление цели%1,
50034,"Тип предмета, который держит игрок",Тип элемента%1 КПК,
50035,Игрок,Игрок%1,
50036,Группа игроков,Группа игроков%1,
50037,Внешний вид игрока,Внешний вид%1,
50038,Группа игроков,Группа игроков%1,
50039,Личная переменная игрока (группа расположения),%2 из%1 (группа расположения),
50040,Личная переменная игрока (группа зон),%2 из%1 (региональная группа),
50041,Личная переменная игрока (группа значений),%2 из%1 (группа значений),
50042,Личная переменная игрока (string group),%2 из%1 (группа строк),
50043,Личная переменная игрока (boolean group),%2 из%1 (логическая группа),
50044,Личная переменная игрока (группа типов блоков),%2 из%1 (группа типов блоков),
50045,Личная переменная игрока (группа типов предметов),%2 из%1 (группа типов элементов),
50046,Личная переменная игрока (группа типа существа),%2 из%1 (группа биотипов),
50047,Личная переменная игрока (группа таймера),%2 из%1 (группа таймеров),
50048,Личная переменная игрока (группа типов эффектов),%2 из%1 (группа типов эффектов),
50049,Случайный тип возникновения,Случайный тип возникновения,
50050,Мини номер игрока,Мини для%1,
50051,Получить плеер с указанным мини номером,Получить игрока с мини номером%1,
50052,"Общее количество предметов, оставшихся в рюкзаке игрока","Получить общее количество рюкзака%1 и ярлыка, оставшихся для хранения%2",
50053,Тип предмета Рюкзак игрока,Получить тип элемента для%2 из%1,
50054,Название предмета рюкзака игрока,Получить prop имя для%2 из%1,
50055,Получить количество предметов игрока,Получить текущее количество%1%2,
50056,Получить оставшееся время состояния на плеере,Получить оставшееся время для%2 из%1,
50099,Реальный шаблон приватной переменной,Реальный шаблон приватной переменной,
50119,Шаблон переменной (регион),Шаблон переменной (регион),
50120,Шаблон переменной (расположение),Шаблон переменной (расположение),
50121,Шаблон переменной (числовой),Шаблон переменной (числовой),
50122,,,
50123,Шаблон переменной (Boolean),Шаблон переменной (Boolean),
50124,Шаблон переменной (игрок),Шаблон переменной (игрок),
50125,Шаблон переменной (группа игроков),Шаблон переменной (группа игроков),
50126,Шаблон переменной (тип блока),Шаблон переменной (тип блока),
50127,Шаблон переменной (тип элемента),Шаблон переменной (тип элемента),
50128,Шаблон переменной (Bio),Шаблон переменной (Bio),
50129,Шаблон переменной (Bio Type),Шаблон переменной (Bio Type),
50130,Шаблон переменной (Bio Group),Шаблон переменной (Bio Group),
50131,Шаблон переменной (таймер),Шаблон переменной (таймер),
50132,Шаблон переменной (тип эффекта),Шаблон переменной (тип эффекта),
50139,Шаблон переменной (группа расположения),Шаблон переменной (группа расположения),
50140,Шаблоны переменных (группы областей),Шаблоны переменных (группы областей),
50141,Шаблон переменной (числовая группа),Шаблон переменной (числовая группа),
50142,Шаблон переменной (группа строк),Шаблон переменной (группа строк),
50143,Шаблон переменной (Boolean Group),Шаблон переменной (Boolean Group),
50144,Шаблон переменной (группа типов блоков),Шаблон переменной (группа типов блоков),
50145,Шаблон переменной (группа типов товаров),Шаблон переменной (группа типов товаров),
50146,Шаблон переменной (группа биотипов),Шаблон переменной (группа биотипов),
50147,Шаблон переменной (группа таймеров),Шаблон переменной (группа таймеров),
50148,Шаблон переменной (группа типов эффектов),Шаблон переменной (группа типов эффектов),
50149,Шаблон переменной (Leaderboard),Шаблон переменной (Leaderboard),
50150,Шаблон переменной (таблица),Шаблон переменной (таблица),
50151,Шаблон переменной (двумерная таблица),%2 из%1 (двумерная таблица),
60001,Количество игроков в группе игроков,Количество игроков в%1,
60002,Количество игроков в группе игроков,Число%2 в%1,
60003,Количество игроков в игре,Количество игроков в текущей игре,
60004,Игроки с указанным номером в группе игроков,Номер игрока%2 в%1,
60005,Случайные игроки в группе игроков,Случайный игрок в%1,
60006,Все игроки,Все игроки,
60007,Все игроки в команде,Все игроки в%1,
60008,Все игроки в районе,Все игроки в%1,
60009,"Игрок, запустивший событие","Игрок, запустивший событие",
60010,Целевой игрок в событии,Целевой игрок в событии,
60011,"Игрок, который стреляет снарядом","Игрок, который стреляет снарядом",
60012,Player’s first inviter,%1’s first inviter,
60013,New player group of player’s invitation,New player group successfully invited by %1,At most 200 players are available for this interface
60014,All player group of player’s invitation,All player group successfully invited by %1,At most 200 players are available for this interface
70001,Местонахождение существа,Расположение%1,
70002,Свойства живых существ,Атрибут%2 для%1,
70004,Получить номер существа в группе биома,Число%2 в%1,
70005,Биологическая перспектива,%1 ориентированный угол,
70006,Название типа существа,Имя типа для%1,
70012,Команда существ,%1 команда,
70013,Определенный биологический тип,Тип%1,
70014,Случайный биологический тип,Случайный биологический тип,
70015,Биологический тип,Биологический тип%1,
70016,биом,Биогруппа%1,
70017,Биологическая внешность,Внешний вид%1,
70018,биом,Биогруппа%1,
70019,Биологическая группа типов,Группа биотипов%1,
70020,биология,Био%1,
70021,Название биологического типа,Имя типа для%1,
70022,Описание биологического типа,Описание модуля для%1,
80001,Количество организмов в биоме,Количество существ в%1,
80002,Организмы указанного числа в биологической группе,Существо пронумеровано%2 в%1,
80003,Случайные организмы в биоме,Случайные существа в%1,
80004,Все существа в команде,Все существа в%1,
80005,Все существа в этом районе,Все существа в%1,
80006,"Существо, которое вызвало событие","Существо, которое вызвало событие",
80007,Целевое существо в событии,Целевое существо в событии,
80008,"Тип существа, вызвавшего событие","Тип существа, вызвавшего событие",
80009,Тип целевого существа в случае,Тип целевого существа в случае,
80010,Последнее созданное существо,Последнее созданное существо,
80011,Последний созданный тип существа,Последний созданный тип существа,
80012,"Существа, которые стреляют снарядами","Существа, которые стреляют снарядами",
90001,Место нахождения капли,Расположение%1,
90002,Количество выпавших предметов,Количество%1,
90003,"Количество предметов, которые изменились в рюкзаке игрока","Количество предметов, которые изменились в рюкзаке игрока",
90004,Тип имя элемента,Имя типа для%1,
90008,Тип падения,Тип%1,
90009,Тип предмета,Тип товара%1,
90012,Тип изделия группа,Тип элемента Группа%1,
90013,Случайный тип элемента,Случайный тип элемента,
90014,Тип предмета в случае,Тип предмета в случае,
90015,"Метатель, запускающий событие","Метатель, запускающий событие",
90016,Падение в случае,Падение в случае,
90017,Количество элементов в мероприятии,Количество элементов в мероприятии,
90018,Последний созданный тип элемента,Последний созданный тип элемента,
90019,Описание типа изделия,Описание модуля для%1,
90020,Свойства элемента,%2 из%1,
